#separator:tab
#html:true
"<img src=""paste-425c49bfc42f092cac370b6d664196d91941aa80.jpg"" title='이 &lt;5 기본서 0.368 참조고려시대에는소방을사라질소 , 재앙재 "" 소재 (\&amp;)” 라하였다 .'/><div><img src=""image-7240b2f6e06da1fd193703b2171b83818d20cf06.jpg"" title=""시기
89
고려시대조선시대갑오개혁""/><br/></div>"	"<img src=""paste-e37fac2484352a70b50e3c81c805c8454ab995ec.jpg"" title/>O<div><img src=""paste-4cf382716c366467fed9f1c894f3e7307723b079.png"" title/><br/></div>"
"<img src=""paste-30b468ad190a4aa4f0767190d7780a37e480ec91.jpg"" title=""52 &lt;5 기본서 0.395 참조
「 건축법시행령 」』 에따른아파트중 150 세대이상인아파트는소방안전관리보조자를선임해야하는대상에해당하며 , 초과되는 150 세대마다 1 명이상을추가로선임해야한다 .
o1x""/>"	"<img src=""paste-2d7c2ed3727b578f7263b6fb0ae45deb4c2585d3.jpg"" title/>X<div><img src=""paste-4ea3e8d997d819fe4ea119dcc8e074924f3e48b5.png"" title/><br/></div>"
"<img src=""paste-91a43bbc9871d9880ab8c12de6545192058083cb.jpg"" title=""53 &lt;&gt; 기본서 6.395 참조신축하려는부분의연면적이 5 천제곱미터이상인것으로서지상층의층수가 6 층이상인것은건설현장소방안전관리자를선임해야하는대상에해당한다 .
oIx""/>"	"<img src=""paste-77c938567d0392bb674fee432ce7256c3b866cfe.jpg"" title/>X<div><img src=""paste-7375067cd4bb8d08cdd1b37b51825fe972da8ab0.png"" title/><br/></div>"
"<img src=""paste-2924afdc45828c09d2e4693598b9732c393ad0ec.jpg"" title=""54 &lt;&gt; 기본서 6.395 참조지하층을제외한층수가 11 층이상인복합건축물은관리의권원이분리된특정소방대상물의소방안전관리대상에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-c801e4dfc2711d8ecbe9f43d9df43c9f4a057b39.jpg"" title/>O<div><img src=""paste-7375067cd4bb8d08cdd1b37b51825fe972da8ab0.png"" title/><br/></div><div><img src=""paste-45c0d66aaa77ab73b5efc8df7d646d988da8e642.png"" title/><br/></div>"
"<img src=""paste-308799fa18243024a18053440d57675a40cb9824.jpg"" title=""55 5 기본서 0.396 참조제조소에서취급하는제 4 류위험물의최대수량의합이지정수량의 50 만배인사업소의경우에는화학소방자동차의대수는 4 대 , 자체소방대원의수는 20 인이다 .
ㅇ 1×""/>"	"<img src=""paste-e44ba5e6f046a52eefedb659fd8a35d90f442edc.jpg"" title/>O<div><img src=""paste-8e1a23e5f7d46fd80b7295c9842b3aee1623e933.png"" title/><br/></div><div><img src=""paste-59bf51c942eddf37da754a4903b7d417d7a09a1a.png"" title/><br/></div>"
"<img src=""paste-4aa9f5138868d048e7201e76a4128f329e9ad43b.jpg"" title=""56 &lt;5 기본서 6.396 참조옥외탱크저장소에서저장하는제 4 류위험물의최대수량의합이지정수량의 50 만배인사업소의경우에는화학소방자동차의대수는 4 대 , 자체소방대원의수는 20 인이다 .
o1x""/>"	"<img src=""paste-f7a2f5b09dd183a520a3edde69535a88d2d06ae8.jpg"" title/>X<div><img src=""paste-8e1a23e5f7d46fd80b7295c9842b3aee1623e933.png"" title/><br/></div>"
"<img src=""paste-5335152be6e553ab956e77a23443ba0b07853459.jpg"" title=""57
5 기본서 0.397 참조소방공무원으로근무한경력이 3 년이상인자는제 6 류위험물을취급할수있다 .
ㅇ 1×""/>"	"<img src=""paste-a82ed92cc2c623e62ceb384ba4f185a2b358342c.jpg"" title/>X<div><img src=""paste-8e1a23e5f7d46fd80b7295c9842b3aee1623e933.png"" title/><br/></div>"
"<img src=""paste-e30372863f26c1d206f1d9ac97851bab65aa0d0c.jpg"" title=""58 &lt; 기본서 0.397 참조소방시설공사업이란소방시설공사에관한발주자의권한을대행하여소방시설공사가설계도서와관계법령에따라적법하게시공되는지를확인하고품질 - 시공관리에대한기술지도를하는영업을말한다 .
ㅇ 1×""/>"	"<img src=""paste-c638438ed0281f0d38a3d1e1d640e5b36cf4ee09.jpg"" title/>X<div><img src=""paste-8e1a23e5f7d46fd80b7295c9842b3aee1623e933.png"" title/><br/></div>"
"<img src=""paste-2cd9fd8fb0ca769f5a15b0b2aecb66d6919b70cd.jpg"" title='59 5 기본서 0.399 참조소방조직은통제수단이규범적권력이사용되고구성원이높은귀속감을지닌 "" 규범적조직 ""” 에해당한다 .
ㅇ 1×'/>"	"<img src=""paste-3be83eecce5b1fdc3d4065543f1a1da44684c927.jpg"" title/>O<div><img src=""paste-8e1a23e5f7d46fd80b7295c9842b3aee1623e933.png"" title/><br/></div>"
"<img src=""paste-1181f8ad4fd23238897eb82b44c015e9c354d7f2.jpg"" title=""60 &lt; 기본서 6.401 참조명령통일의원리는특정사안에대한결성에있어서의사결성과정에서는개인의의견이참여되지만결정을내리는것은개인이아닌소속기관의장임을의미한다 .
01X""/>"	"<img src=""paste-f226255ffb08b54f7804498c9df1b22a2996fa78.jpg"" title/>X<div><img src=""paste-8e1a23e5f7d46fd80b7295c9842b3aee1623e933.png"" title/><br/></div>"
"<img src=""paste-9af7430b559ac210f944553a84742ff2e71ceefc.jpg"" title='이 &lt;&gt; 기본서 0.402 참조소방업무의특성상과정이나절차를중요시하는 “ 과정성 ""” 을가지고있으며 , 불확실한사고에대비하기위해충분한인력및장비의여유자원을갖추어져충분해야하므로 "" 가외성 ” 을가지고있다 .
ㅇ 1×'/><div><img src=""image-e8b1990ad84849bdff2729433a8c38a80eb53acb.jpg"" title=""_ 내용확하게대처를해야한다 .
각종시고말생시헌장이써항상돌발적인위험성을내재하고있다 .
건축 , 전기 , 가스 , 위험물등다양한분야의전문성이요구되는전문기술업무이다 .
각종갸교에대해신속 , 효과적으로대처하기위불확실한사고에대비하기위해충분한인력및장비의여유자원충분해야한다 .
소방업무의특성상구조 - 구급및각종서비스의제공분만아니라화재발생시안전을확보하기위하여인 - 허""/><br/></div>"	"<img src=""paste-9ab97e4b2046c3b8ea33d35f28497d2f6d7d5e05.jpg"" title/>X<div><img src=""paste-c21c11e340898d561385beb0361801ac87d7888d.png"" title/><br/></div><div><img src=""paste-8e1a23e5f7d46fd80b7295c9842b3aee1623e933.png"" title/><br/></div>"
"<img src=""paste-04bee8166602c731159e0c369cbf98869150b964.jpg"" title=""62 &lt;&gt; 기본서 6.402 참조소방행정조직의업무적특성에따라가외성 , 긴급성 , 신속 - 대응성 , 전문성등이해당한다 .
ㅇ 1×""/>"	"<img src=""paste-7f2a92ad9d4d711b9039468216d0a1dd4ed08f97.jpg"" title/>O<div>긴급 위험현장 대규가층 결전일</div><div><img src=""paste-78f73b3846c5efa664085eeeef299c0ee0fdc030.png"" title/><br/></div>"
"<img src=""paste-f864a6eff3739c39ad17df30b0d5d99bb8ef0cac.jpg"" title=""63 &lt;&gt; 기본서 6.403 참조강등이란동종의직무내에서하위의직위에임명하는것을말한다 .""/>"	"<img src=""paste-6c9a0d91a9a4aafe6606e692541e7230f32e5eaf.jpg"" title/>X<div><img src=""paste-6b8b4117a12ce93d78884ea0e8088d63c250b91e.png"" title/><br/></div>"
"<img src=""paste-c1a05c6c908e2a37045293fde99a48888651bae2.jpg"" title='64 &lt;&gt; 기본서 6.403 참조임용의종류중징계에해당하는것은 "" 파면 , 해임 , 감봉 , 직위해제 ” 가있다 .
ol x'/><div><img src=""image-6aa7e33ced718901fe10d1dd3565676e4549c071.jpg"" title=""I
i
9""/><br/></div>"	"<img src=""paste-e4764aa9662f06470a5113cb409f6a0f214ca24a.jpg"" title/>X<div><img src=""image-cefb747b4079cedeb8c3f64c5d2340868e523065.png"" title/><br/><div><img src=""paste-6b8b4117a12ce93d78884ea0e8088d63c250b91e.png"" title/><br/></div></div>"
"<img src=""paste-a8199ae2679ac37f4d995f054bd75130028f9282.jpg"" title='65 &lt;) 기본서 0.404~405 참조소방공무원의계급의순서가높은것부터낮은것순서대로나열하면 "" 소방총감 - 소방정감 - 소방감 - 소방준감 - 소방령 - 소방경 - 소방정 - 소방위 - 소방장소방교
- 소방사 "" 이다 .
o Xx'/>"	"<img src=""paste-995f8450d9637ac7c0166a72ae6b8c5c3dc1c8c5.jpg"" title/>X<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-85930f8736da9e45772acff17ff4cf1a1e270c9d.jpg"" title=""66 &lt;&gt; 기본서 0.405 참조계급정년은소방경 14 년 , 소방령 11 년 , 소방정 6 년 , 소방준감 4 년이다 .""/><div><img src=""image-68e1fde279f8f25795a908d006d7e0707a5926b9.jpg"" title=""_nes || @ || 0| o | S e ] e e
최저근무 |
연수""/><br/></div>"	"<img src=""paste-c33e4488a249af16bda858ab777e0511b053d43d.jpg"" title/>X<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-e03383b02f088f25fc81cf19f343c40e6c0f1b00.jpg"" title=""67 &lt;&gt; 기브서 6.405 잠조소방장의소방공무원이승진하기위해최소근무해야하는연수는 1 년이다 .""/><div><img src=""image-68e1fde279f8f25795a908d006d7e0707a5926b9.jpg"" title=""_nes || @ || 0| o | S e ] e e
최저근무 |
연수""/><br/></div>"	"<img src=""paste-178648ceb4f6709ee036dec5e6f64b231f7517a1.jpg"" title/>O<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-7c284fa9be371f4c7882f8ee9a7501967aed1287.jpg"" title=""68 &lt;&gt; 기본서 6.405 참조소방경의강등 , 소방령의정직및소방준감의직위해제는모두소방청장이임용한다 .
ㅇ 1×""/><div>청장 제청 - 총리 - 대통령 임용 계급</div>"	"<img src=""paste-0160e77dffdd10359fd39571e7b9b405d24a0621.jpg"" title/>O<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-6e3a2f2215bc240781324f6c37006483f4dae2fb.jpg"" title='69 &lt;&gt; 기본서 6.408 참조
「 소방공무원교육훈련규정 」 에따라 “ 소방정책관리자교육 "" 을받아야하는대상은소방위 , 소방경 , 소방령의계급이다 .
ㅇ 1×'/><div>관리역량교육</div>"	"<img src=""paste-6591994e009cc3fb8bb33515316ed13d62e2142d.jpg"" title/>X<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-a2958dd5f5532f8f42d49a89c3b4355134bcec46.jpg"" title='70 &lt;&gt; 기본서 6.409 참조
『 소방기본법 」 에따라 "" 현장지휘훈련 ” 을받아야하는대상은소방정 , 소방위 , 소방경 ,
소방령의계급이다 .
ㅇ 1×'/>"	"<img src=""paste-949c44971d7814a8e00ae60db43ad9daa77aaed2.jpg"" title/>O<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-e5a3415a27aa65d0ba9056c71f060110abd19313.jpg"" title='기기본서 6.409 참조징계강도에따른분류로파면 , 해임은 “ 중징계 ” 에해당하며 , 강등 , 정직 , 감봉 , 견책은
"" 경징계 ” 에해당한다 .
ㅇ 1×'/><div><img src=""image-6aa7e33ced718901fe10d1dd3565676e4549c071.jpg"" title=""I
i
9""/><br/></div>"	"<img src=""paste-fd705f89c60574e1bf4b0fcadf54c2701f5c6045.jpg"" title/>X<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-a1b01dfa8aa79befd8b6db6ba772b80396fb2a12.jpg"" title=""72 &lt;5 기본서 0.409 참조강등이란 1 계급아래로직급을내리고공무원신분은보유하나 1 개월이상 3 개월이하의기간동안직무에종사하지못하며그기간중보수는전액을감한다 .
o1x""/><div><img src=""image-0e16418604388de87ca4819772c9860f5ad3daa6.jpg"" title=""I
i
9""/><br/></div>"	"<img src=""paste-3b67e9cf1422a1fdb21f69e2c4df00377f13c490.jpg"" title/>X<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-5ae4e73fc83ba59aec90a49ef739fff8ead89b75.jpg"" title=""73 5 가본서 0.409 참조감봉은 1 개월이상 3 개월이하의기간동안보수의 1/2 을감한다 .""/><div><img src=""image-0e16418604388de87ca4819772c9860f5ad3daa6.jpg"" title=""I
i
9""/><br/></div>"	"<img src=""paste-8a6322d77f84a7be43241792a5a235f850ceb76b.jpg"" title/>X<div><img src=""paste-d078b4d625e0f46c8d2627bdb532b4ba8c63f3bc.png"" title/><br/></div>"
"<img src=""paste-0239d462f108c6e3c8783c3b9a684cf39ad74845.jpg"" title=""74 &lt;&gt; 기본서 0.0 참조소방정인지방소방학교장에관한징계는시 - 도에설치된징계위원회에서심의 ㆍ 의결한다 .
oIx""/>"	"<img src=""paste-a42e281ecb686fce8ed90f48fad3285aee0d2a7a.jpg"" title/>X<div><img src=""paste-13d4cf32d85e5132470bc8662a134047999e55af.png"" title/><br/></div>"
"<img src=""paste-c68fb7433bc4a8ad3d27c6bc8d69c580d8ef3ecc.jpg"" title=""75 &lt;5 기본서 0.43 참조소방본부장또는소방서장은소방활동에필요한소화전 - 급수탑 - 저수조를설치하고유지 - 관리하여야한다 .""/>"	"<img src=""paste-8b66bb5038212c3b1a375252c6c844f220ba5aa1.jpg"" title/>X<div><img src=""paste-13d4cf32d85e5132470bc8662a134047999e55af.png"" title/><br/></div>"
"<img src=""paste-01fa2dfdd04cbed22c054fd0b54ee9d378135789.jpg"" title=""76 &lt;5 기본서 0.4 참조지하에설치하는승하강식소화전의소방용수표지에대한 HEFZR 지름 648[07]
이상이어야한다 .
ㅇ 1×""/>"	"<img src=""paste-ea42a2582c8e99398883369dbb91f304a2742b02.jpg"" title/>X<div><img src=""paste-13d4cf32d85e5132470bc8662a134047999e55af.png"" title/><br/></div>"
"<img src=""paste-8cac76fc9521e72cc070cc7339311f552435654d.jpg"" title=""77 &lt;5 기본서 0.414 참조지상에설치하는소화전의소방용수표지색상은안쪽문자는붉은색 , 바깥쪽문자는파란색이고 , 안쪽바탕은흰색 , 바깥쪽바탕은노란색이다 .
ㅇ 1×""/>"	"<img src=""paste-0bb7a30eb5cb70e45abbea62c018661ea48087c1.jpg"" title/>X<div><img src=""paste-13d4cf32d85e5132470bc8662a134047999e55af.png"" title/><br/></div>"
"<img src=""paste-e89cf60d5c6ffaae30f2f1fb4f5b0dc008a4a7c5.jpg"" title=""78 &lt;5 가본서 0.415 참조저수조의낙차는지면으로부터 5.5[m] 이하이어야하며 , 수심은 1[m] 이상이어야한다 .
ㅇ 1×""/>"	"<img src=""paste-180e93f093b5a5ba8d8061359fae53c2c146e39a.jpg"" title/>X<div><img src=""paste-13d4cf32d85e5132470bc8662a134047999e55af.png"" title/><br/></div>"
"<img src=""paste-9a87b3266e70e6b1d3d7d30c3d492753f282d14f.jpg"" title=""79 기본서 6.15 참조소화전은상수도와연결하여지상식또는지하식의구조로 , 연결금속구의 FA2 65[mm]
이어야한다 .
ㅇ 1×""/>"	"<img src=""paste-8db4cada85ad27bd88ff0758121e9b1356659b99.jpg"" title/>O<div><img src=""paste-13d4cf32d85e5132470bc8662a134047999e55af.png"" title/><br/></div>"
"<img src=""paste-f826df9172a8465d1d9ae038afc14e28366121cc.jpg"" title=""80 5 기본서 0.45 참조급수탑의급수배관의구경은 50[070] 이상이어야하며 , 개폐밸브는지상에서 0.8[07]
이상 1.5[m] 이하의위치에설치하여야한다 .
ㅇ 1×※""/>"	"<img src=""paste-62381f266c77fe5381bcc468718a7c92a4b95100.jpg"" title/>X<div><img src=""paste-13d4cf32d85e5132470bc8662a134047999e55af.png"" title/><br/></div>"
"<img src=""paste-70c1c8d6e26395fedcd9c9925fa19d96eabfd2fd.jpg"" title=""81 &lt;&gt; 기본서 0.16 참조소방자동차 , AYURITE 및소방정 , 소방전용통신설비및전산설비 , 그밖에방화복등소방활동에필요한장비는국고보조대상사업의범위에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-6384c0ec4d09382155e73facd7542d7bd0986a0a.jpg"" title/>O<div><img src=""paste-d7b43c9c6ae257784356e5d9dec6c99accc39e64.png"" title/><br/></div>"
중앙119구조본부 변천과정	"<img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/>"
국립소방연구원 변천과정	"<img src=""paste-783f6c3c3eee98e6a7dd638d7a042354e2f30077.png"" title/>"
