#separator:tab
#html:true
"<img src=""paste-8693f1d2b731c95def02f6025487fbecb02480b8.jpg"" title=""이 &lt;&gt; 기본서 0.96 참조화재란사람의의도에반하거나고의또는과실에의하여발생하는연소현상으로서소화할필요가있는현상또는사람의의도에반하여발생하거나확대된물리적폭발현상을말한다 .
@1%×※""/>"	"<img src=""paste-f2a73c743b735900d842ebaa6479c9897cfd34fe.jpg"" title/>X"
"<img src=""paste-b2d2d7b7ff19f3bb2c8b04920dfe918c477a832d.jpg"" title='59 &lt;5 기본서 0.17 참조목재건축물의화재진행과정은 "" 발화 - 발염착화 - 무염착화 - 최성기 - 연소낙하 -
진화 "" 의순으로나타난다 .
o1x'/>"	"<img src=""paste-d39e4de5e5fcabe657d70a0b2c3ea84a03ac0540.jpg"" title/>X<div><img src=""paste-402c8fb6574e84a37e084d159b9bbc5162acc738.png"" title/><br/></div>"
"<img src=""paste-106e4137770af9c2314a9b5d055d7698395b1dc6.jpg"" title=""60 &lt;&gt; 기본서 0.17~109 참조내화건축물과비교한목조건축물의화재는일반적으로환기지배형화재로나타나며 ,
저온장기형화재이다 .
ㅇ ×""/>"	"<img src=""paste-6ecb154abd9dda98d0c027d8701f8189e84751c2.jpg"" title/>X"
"<img src=""paste-340da9c6320b54eb4f1a7ea10b2193e0339cc16b.jpg"" title=""이 &lt;5 기본서 0.18 참조불연천장이나불연벽체의경우실내의뒷면에서발염착화하는경우는목조건축물의옥내출화시기에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-bc2f4f29eca1833302c1f0aca8fa4f5219d858e2.jpg"" title/>O<div><img src=""paste-44683e7115699a54f35dc74e9bd5a4d640fb5f01.png"" title/><br/></div>"
"<img src=""paste-10fae6c542a916314593fa4b9dc3f414016db04a.jpg"" title=""62 Ol pnsas
목재는표면이거친것보다는매끄러운것이 , 흑색인것보다는백색인것이연소하기쉽다 . 또한 , 목재는열팽창률이크므로일반콘크리트에비해붕괴확률이높다 .
읍 |""/>"	"<img src=""paste-e49d47a3bbf78a1626eb439d8935c092ae4721ad.jpg"" title/>X<div><img src=""paste-44683e7115699a54f35dc74e9bd5a4d640fb5f01.png"" title/><br/></div>"
"<img src=""paste-e6ffab0467180235ae65021e5c79956e0216d711.jpg"" title=""63 &lt;5 기본서 020 참조폭렬현상 (50209) 은일반콘크리트의화재시온도상승으로내부수증기가감소되면서균열이일어나박리되는현상으로콘크리트성분의열분해로인한압축강도가증가되며발생하는것으로물리적및화학적변화에의한현상이다 .
ㅇ 1×""/>"	"<img src=""paste-2e95b8607afd7d6db1efa73e3b4e1b48b8ca3109.jpg"" title/>X<div><img src=""paste-03d621d3c79598b5168972cb558e36e436a72013.png"" title/><br/></div>"
"<img src=""paste-5b8d2e1828861fd3dbef03a41b0cfab7386b334b.jpg"" title=""64 가본서 0120 참조콘크리트가물을많이함유할수록 , 내열피복을부착한콘크리트일수록 , 화재의강도가클수록 , 화재의지속시간이길수록폭렬현상 (562311009) 이발생하기쉽다 .
01X""/>"	"<img src=""paste-42035dc2d46565de7fbd5ada324201e8326f69e2.jpg"" title/>X<div><img src=""paste-03d621d3c79598b5168972cb558e36e436a72013.png"" title/><br/></div>"
"<img src=""paste-a5f62af4b9892a2fa2642f5e2bd265f426d0efac.jpg"" title=""혹좇뻬싣력에영향을미치는환 sy
도에영향을미치는환기요소는개구부면적의제곱
i 구부면적의제곱근에비례하고개구부높
O X%""/>"	"<img src=""paste-14a50c5da9ff88fe392cc36cda095fd65a3024c5.jpg"" title/>X<div><img src=""paste-a410da360cce15bf2eef08e9c4430f66aee2d167.png"" title/><br/></div>"
"<img src=""paste-a39d41bc1b3ec7f36b28942e0547ea3a3f851dba.jpg"" title=""66 &lt;5 기본서 0122 참조화재강도란화재실의단위시간당축적되는열의양을의미하며 , 벽 , 바닥 , 천장 82
구조가단열성및밀폐성이좋을수록화재강도가작아진다 .
ㅇ 1×""/><div>식</div>"	"<img src=""paste-f5166f7952bee1df9c3333da07a343e837927e14.jpg"" title/>X<div><img src=""paste-00783e1183f453b57fb5574e02b9663949a5d157.png"" title/><br/></div>"
"<img src=""paste-bbb273ef26ddcbac7eac0b17cdfa2e64ae26c71f.jpg"" title=""67 &lt; 기본서 022 참조화재하중은입체면적 ( ㅁ ? 당중량 (&lt;9) 이다 .""/>"	"<img src=""paste-a9457cebb432238f7dc8bf147c528182597d0e10.jpg"" title/>X<div><img src=""paste-00783e1183f453b57fb5574e02b9663949a5d157.png"" title/><br/></div>"
"<img src=""paste-0bf3529ee92dbf50b0f71291b47c6883472b8b92.jpg"" title=""68 &lt;5 기본서 0122 참조화재하중은단위면적당가연물의총량을목재를기준으로환산한무게로서가연물의양과최고온도의질적개념을가지는것을말하며 , 단위면적당등가가연물의발열량및화재의위험성을의미한다 .
ㅇ 1×""/>"	"<img src=""paste-e1db7293747de2fe9f661679e82131438d0432e6.jpg"" title/>X<div><img src=""paste-00783e1183f453b57fb5574e02b9663949a5d157.png"" title/><br/></div>"
"<img src=""paste-d07d4f6838d220c77820b78e56d82cbc63117862.jpg"" title=""69 5 기본서 6122 잠조가연물의배열상태 , 가연물의질량 , 가연물의단위발열량 , 목재의단위발열량및화재실의바닥면적은화재하중에영향을준다 .
ㅇ 1×""/>"	"<img src=""paste-de5c55033cadd28c4f2bccfd766858b8de69074b.jpg"" title/>X<div><img src=""paste-00783e1183f453b57fb5574e02b9663949a5d157.png"" title/><br/></div>"
"<img src=""paste-2506eb307deae33bfbbe0c1669e56cd0414289cf.jpg"" title=""70 &lt;&gt; 기브서먼참조화재하중이클경우주수율이커져야하며 , 화재강도가클경우주수시간이길어져야한다 .
o1x""/>"	"<img src=""paste-664ec932bda8fa059fa51c3cf29896973e06296a.jpg"" title/>X<div><img src=""paste-d5b47b462d5dc15ae8281e372b742ec230976060.png"" title/><br/></div>"
"<img src=""paste-86578428e9950cf79d757a06eaf37d356317a864.jpg"" title=""기 5 기본서 0123 참조내화구조물의화재가혹도판단을위한주요요소중화재지속시간을산정하기위한인자로는화재실의바닥면적 , 화재실의최고온도 , 화재실의개구부높이및화재실의개구부면적이있다 .
0 ㅇ 1×※""/><div>시간인자</div><div>온도인자</div>"	"<img src=""paste-b1100499fbc3632df8279dab620e351ae465b336.jpg"" title/>X<div><img src=""paste-e1f20e5b0565e42129b1ae0747626e084cdf0b7c.png"" title/><br/></div>"
"<img src=""paste-5248db33549f3eca6d461d7d4adfdbb02da9356c.jpg"" title=""72 &lt;&gt; 기본서 6126 참조화재조사관이란화재조사에전문성을인정받아화재조사를수행하는소방공무원및일반전문가를말한다 .
ㅇ 1×※×""/>"	"<img src=""paste-e1531811636f4476fe50d4aa152a1af1b7673330.jpg"" title/>X<div><img src=""paste-007c17fe3d1fda5f445467dda56e93d8f0a441b9.png"" title/><br/></div>"
"<img src=""paste-831011034fbf956169e15dcdfe8e40473d11b57c.jpg"" title=""73 &lt;&gt; 기본서 627 참조소방청장 , 소방본부장또는소방서장은화재현장에도착한때에는지체없이화재조사를하여야한다 . 이경우수사기관의범죄수사에지장을주어서는아니된다 .
oIx""/>"	"<img src=""paste-097d8286d112b0ab4c8a113009165a26cd191973.jpg"" title/>X<div><img src=""paste-83c60b1b1aeebe6c3055eb2d2d73e0c49eacfdec.png"" title/><br/></div>"
"<img src=""paste-427e3f7f06e7bef670d8d754c87dbb9336edd9fa.jpg"" title=""74 &lt;5 기본서 0127 참조소방관서장은화재조사를하는경우화재안전조사의실시 Zajo| 관한사항을포함하여야한다 .
으 1""/>"	"<img src=""paste-62b90b4cd88fb032b6878b6d13aa5fe01f4c6405.jpg"" title/>O<div><img src=""paste-8d6ed29b4ee93495c40189b908908d8673ddc34a.png"" title/><br/></div>"
"<img src=""paste-e55740fb400e3f06e81e7def33bd2a2c99e5bf76.jpg"" title=""75 &lt;&gt; 기본서 0127 참조화재조사의절차는 “ 현장출동중조사 - 정밀조사 - 화재현장조사 - 화재조사결과보고 ” 이다 .
ㅇ""/>"	"<img src=""paste-7390baa402df523fbce1053814201cd43e0df609.jpg"" title/>X<div><img src=""paste-8d6ed29b4ee93495c40189b908908d8673ddc34a.png"" title/><br/></div>"
"<img src=""paste-36f8a7c13aa10a2274a2ade949c71f16906da1e6.jpg"" title=""76 &lt;&gt; 기본서 0128 참조소방관서장은화재조사전담부서에화재조사관을 5 명이상배치해야한다 .""/>"	"<img src=""paste-e17834d7b88dd4224da2cb63038047731cea3c64.jpg"" title/>X<div><img src=""paste-fcb4f3c8f397496e96f7993e49a1327af9bad1be.png"" title/><br/></div>"
"<img src=""paste-0a763803378ad189257ee6a2d7c2712fffa865a0.jpg"" title=""77 &lt;&gt; 기본서 0130 참조국립과학수사연구원또는소방청장이인정하는외국의화재조사관련기관에서 4 주이상화재조사에관한전문교육을이수한소방공무원은소방청장이실시하는화재조사관자격시험에응시할수있다 .
ㅇ 1×""/>"	"<img src=""paste-f744adaa98ac3827fa33d2807ad652a3269b2878.jpg"" title/>X<div><img src=""paste-1690e6acfb5a39a8bc169c11039e11add8cdd955.png"" title/><br/></div>"
"<img src=""paste-67d80239a8866a88197b151eba52197c458bbdeb.jpg"" title=""78 &lt;&gt; 기본서 0.131 참조소방관서장은사상자가 5 명이상발생한화재가발생한경우종합적이고정밀한화재조사를위하여유관기관및관계전문가를포함한화재합동조사단을구성 - 운영할수있다 .
ㅇ 1×""/>"	"<img src=""paste-f1115073df20fc71e3dea7c1989f29d7af9d89ad.jpg"" title/>X<div><img src=""paste-ec0b793d14a6cb4fe8955b9e4423dce8fdcf3e23.png"" title/><br/></div><div><img src=""paste-6651a276862bc7698997d458f56b13a8669e317e.jpg"" title/><br/></div>"
"<img src=""paste-e3c950c3e318d2ac39899f2956f13542cc3b0688.jpg"" title=""79 5 기본서 6132 참조화재조사업무에관한경력이 3 년이상인소방공무원은화재합동조사단의단원이될수있다 .
ㅇ 1×""/><div><img src=""image-2e6a06a754476f945379bbd930d254a01a9de0eb.jpg"" title=""2 화재조사관
© 화재조사업무에관한경력이 083 이상인소방공무원
© 「 고등교육법 .」 에따른학교또는이에준하는교육기관에서화재조사 , 소방또는안전관리등관련분야 gus 이상의직이녀콩묻졸재직한사람
@ 「 국가기술자격법 」 에따른국가기술자격의직무분야중안전관리분야이시 0
이상의자격을취득한사람
© 그밖에건축 ㆍ 안전분야또는화재조사에관한학식과경험이풍부한사람화재합동조사단의단장 : 단원중에서소방관서장이지명하거나위촉하는사람이된다 .
소속공무원또는소속임직원의파견요청 : 소방관서장은화재합동조사단운영을위하여관계행정기관또는기관 ㆍ 단체의장에게 A% 공무원또는소속임직원의파견을요청할수있다 .""/><br/></div>"	"<img src=""paste-88dc734418098d2b0da38a8f0d9158a099597def.jpg"" title/>O<div><img src=""paste-d614030ee8e3afbfb42a07548913e0950513eac6.png"" title/><br/></div>"
"<img src=""paste-26062d9b2208e1c08f83111dddad5cca6f63006b.jpg"" title=""80 &lt;5 기본서 6132 참조국가기술자격의직무분야중안전관리분야에서기능사자격을취득한사람은화재합동조사단의단원이될수있다 .
o x""/><div>소공 ~년</div><div>x교수 ~년</div>"	"<img src=""paste-09f67e00a3fd746e0965f9dd163e6c1809347eaa.jpg"" title/>X<div><img src=""paste-d614030ee8e3afbfb42a07548913e0950513eac6.png"" title/><br/></div><div><img src=""paste-7b525157f0404232b691e827b91d7976748818db.jpg"" title/><br/></div>"
"<img src=""paste-437175be1ed223d1f344571ca4437baa7e1e38bd.jpg"" title=""81 &lt;&gt; 기본서 0133 참조방화또는실화의혐의로수사의대상이된경우에는소방관서장이통제구역을설정한다 .
ㅇ 1×""/>"	"<img src=""paste-551b08d2ed9e5e85d94fb0a38b748e43da5079df.jpg"" title/>X"
"<img src=""paste-65b61449cf7c749ab0c4f358247bd979d7d8f0cf.jpg"" title=""82 5 기본서 035 참조소방관서장은화재조사를위하여필요한최대한의범위에서화재조사관에게증거물을수집하여검사 - 시험 ㆍ 분석 S8 하게할수있다 .
ㅇ 1※""/>"	"<img src=""paste-a1ce6a037bc010949614be36e0d925c865a33f4e.jpg"" title/>X<div><img src=""paste-a78e8a78108da0ce0f0074cff88ea754e0738485.png"" title/><br/></div>"
"<img src=""paste-ca24214f1fcc0692131c457ccb7e3e0d6d1d6631.jpg"" title=""83 &lt;5 기브서 6740 참조화재감정기관의전문인력은주된기술인력을 3 명이상 , 보조기술인력을 5 명이상보유하여야한다 .
o1x""/>"	"<img src=""paste-2ce75d54f6867f0449d8c888d7182d067b33db1e.jpg"" title/>X<div><img src=""paste-26fd8bbd48941320390858d2c414cb21162fdea1.png"" title/><br/></div>"
"<img src=""paste-53351518f54212281aa8a1ac7b6a08ed3c1704c4.jpg"" title=""84 &lt;&gt; 기본서 ”640 참조화재조사관자격취득후화재조사관련분야에서 3 년이상근무한사람 , 이공계분야의박사학위취득후화재조사관련분야에서 1 년이상근무한사람은화재감정기관의주된기술인력이될수있다 .
ㅇ 1×""/><div><img src=""image-9794e1b2b871f2c44a5625f2f993705640c5bf06.jpg"" title=""ㅡ 다음의어느하나에해당하는사람을유할것
© ' 국가기술자격법 , 에 G2 국가기술자격의칙무분야중화재감식핑가분야의 . 기사자격취득후화재조사관련분야에서변이상근무한사람
@
기술인력 ㅣ0 회재조사관자격취득후회재조사관련분이에서년이상근무한사람
@R 분야의 AR 취득후회재조사관련 SOOI i1 이상근무한사람 &quot;
ㅡ 다음의어느하나에해당하는 Al e 04 보유할것
O ' 국가기술자격법 , 에때른국가기술자격의직무분야중화재감식평가분야
s ?ﬂag 취득한
= e ;hna 취득한시럼?| 배기술인력 =
@ 소방청장이인정하는화재조사관려갠헹쇠찌
© DB 분야의 A 이상학위취득후화재조사관련분이에서년이상근무한사람 &quot;""/><br/></div>"	"<img src=""paste-ab5dbee2722558c8236f944a257da8e455f1f5a9.jpg"" title/>X<div><img src=""paste-26fd8bbd48941320390858d2c414cb21162fdea1.png"" title/><br/></div>"
"<img src=""paste-4acb03c7671297c72ece25ea42f48c5382390332.jpg"" title=""85 &lt;&gt; 기본서 0140 참조이공계분야의석사이상학위취득후화재조사관련분야에서 1 년이상근무한사람은화재감정기관의보조기술인력이될수있다 .
ㅇ 1×""/><div>-자격 이상</div><div>-자격</div><div>-자격증</div><div><br/></div>"	"<img src=""paste-a9454e58de4e39634179dcc0d5c8b4db95877cb5.jpg"" title/>O<div><img src=""paste-26fd8bbd48941320390858d2c414cb21162fdea1.png"" title/><br/></div>"
"<img src=""paste-ba6b427d4fc79413c1ba8084ba5ec59475ea06e2.jpg"" title=""86 &lt;&gt; 기본서 044 참조감식이란화재와관계되는물건의형상 , 구조 , 재질 , 성분 , 성질등이와관련된모든현상에대하여과학적방법에의한필요한실험을행하고그결과를근거로화재원인을밝히는자료를얻는것을말한다 .
o1x""/>"	"<img src=""paste-8c0a500e94b3cfcccd9cd030591588f606d52b4b.jpg"" title/>X<div><img src=""paste-04bd37d75e1a4d0535b6442a7be1ce84d72a87e7.png"" title/><br/></div>"
"<img src=""paste-2654324abc33e230a7561624c6398942ce96d03f.jpg"" title=""87 &lt;&gt; 기본서 6744 참조동력원이란발화에관련된불꽃또는열을발생시킨기기또는장치나제품을말한다 .
ㅇ 1%""/><div><img src=""paste-e4bf5cd82a3ca989bc4018fe1fa4f97364e1914c.png"" title=""화재원인의판정을위하여전문적인지식, 기술및경험을활용하여주로시각에의한종합적인판단으로구체적인사실관계를명확하게규명하는것을말한다 .
화재와관계되는물건의형상 , 구조 , 재질 , 성분 , 성질등이와관련된모든현상에대하여과학저방법에의한필요한실험을행하고그결과를근거로화재원인을 |
밝히는자료를얻는것을말한다 .
열원에의하여가연물질에지속적으로불이붙는현상을말한다 .
발화의최초원인이된 ¥R 또는열을말한다 .
열원과가연물이상호작용하여화재가시말한다 .
화재가발생한장소를말한다 .
발화열원에의해불이붙은훑톱일흐언』글말한다 .
발화열원에의하여발화로이어진연소현상에영향을준인적 ㆍ 물적 ㆍ 자연적엔요인을말한다 .
발화에관련된불꽃또는열을발생시킨기기또는장치나제품을말한다 .
발화관련기기나제품을작동또는연소시킬때사용되어진연료또는에너지를말한다 . ㄴ
연소가확대되는데있어결청적영향을미친가연물을말한다 .""/><br/></div><div>발화지점 발화장소 연소확대물 발화열원 발화관련기기 발화요인 최초착화물 동력원 감정 감식 발화</div>"	"<img src=""paste-492d2cd099b45bf4d2a6a880f3022615a232554b.jpg"" title/>X<div><img src=""paste-04bd37d75e1a4d0535b6442a7be1ce84d72a87e7.png"" title/><br/></div>"
"<img src=""paste-cfe53d748555a646d99b6ed0cdbe42ad9da6b352.jpg"" title=""88 &lt;5 기본서 0.144 참조최종잔가율이란화재당시에피해물의재구입비에대한현재가의비율을말하며 , 이는건물 , 부대설비 , 구축물 , 가재도구의경우 10[%] 로하며 , 그이외의자산은 20[%]
로정한다 .
ㅇ 1×""/><div><img src=""image-a117fe50a5dc7854dfcc7fd649309a84ea821a63.jpg"" title=""구부 : 정의 ` 기새구입비 | S 당시의 TSR 같거나비슷한것을재건축 ( 설계감리비를포함한다 ) 또는
| 재휘등하는데필요한금액을말한다 .
000006 ㅣ 고정자산을경제적으로사용할수있는연수를말한다 . B
소해읍 UOIESIBR. &amp;4 상태및정도에 Rt 피해금액을 AMPIE 일정한비율음
, 말한다 .
W o A0 피해몰의재구의뷔에대한현재가의비율을말힌다 .
돕뺀뻔쁘우/《츰!는가치의재구입비에대한비율을말한다 .
| ㆍ 컨 , 부더설비 , 구축물 , 가재도구 : @%
ㆍ 이외의자산 gl
C5- 0 adab2d 12""/><br/></div>"	"<img src=""paste-bd48c822eebc9f48f0d5bebce47c5dc8e47de496.jpg"" title/>X<div><img src=""paste-18f34a30ad5e9ea82e5864942d7b3b22727088a6.png"" title/><br/></div>"
"<img src=""paste-7bb7f25d19df94c4999adc6bd69610fd380689be.jpg"" title=""89 &lt;5 기본서 6145 참조잔불정리란화재초진후잔불을점검하고처리하는것을말한다 . 이단계에서는열에의한수증기나화염없이연기만발생하는연소현상은제외한다 .
@1%""/><div><img src=""paste-6c19872c485a9c643de58f5b0211bda149a950f1.png"" title='화재가발생하여소방대및관계인등에의해소화활동이행하여지고있거나행하여진장소를말한다 .
119 종합상황실 ( 이하 "" 상황실 "" 이라한다 ) 에서유 ㆍ 무선전화또는다매체를통하여화재등의신고를받는것을말한다 .
화재를접수하고상황실로부터출동지령을받아소방대가차고등에서출발하는것을말한다 .
출동지령을받고출동한소방대가현장에도착하는것을말한다 .
화재현장에가장먼저도착한소방대를말한다 .
소방대의소화활동으로화재확대의위험이현저하게줄어들거나없어진상태를말한다회재초진후진불을점검하고처리하는것을말한다 . 이단계에서는열에의한수증기이연기만발생하는연소현상이포함될수있다 .
소방대에의한 , 소화활동의필요성이 , 사라진것을말한다 .
진화가끝난후 , 소방대가화재현장에서복귀하는것을말한다 .
화재를진화한후화재가재발되지않도록감시조를편성하여일정시간동안감시하는것을말한다 , o='/><br/></div><div>화재현장 출동 선착대 완진 철수 재발화감시 초진 접수 도착 잔불정리</div>"	"<img src=""paste-5b3978a10308ee44c51d656ac00864072754115b.jpg"" title/>X<div><img src=""paste-40dcd9b108f26dd94d4df78e9281a6d39c7f4632.png"" title/><br/></div>"
"<img src=""paste-d5f4d04715436a61c6b7627848c393c426f7b640.jpg"" title=""90 &lt;5 가본서 0745 참조소방관서장은조사시전문지식과기술이필요하다고인정되는경우한국소방안전원또는한국소방산업기술원등에감정을의뢰할수있다 .
ㅇ 1×""/>"	"<img src=""paste-e36189fc1eb4346dc66684816b20e2ce949f52e6.jpg"" title/>X<div><img src=""paste-0a1f52f6836696fa80e902606064f46c1bf258f5.png"" title/><br/></div>"
"<img src=""paste-b3a84db6a5efa59bee11eaad61bff021a0d91006.jpg"" title=""91 5 기본서 0.47 참조동일소방대상물의발화점이 2 개소이상있는누전점이동일한누전에의한화재는 1건의화재로한다 .
ㅇ 1×""/>"	"<img src=""paste-abbb94f5b5dac6cb8019dacda91a1083965dc695.jpg"" title/>O<div><img src=""paste-792cdefbe32eaae7330bc33e5cd69819fc1a14c5.png"" title/><br/></div>"
"<img src=""paste-fea75701f264e50b7a79a2a252df0fe787d21c0f.jpg"" title=""92 &lt;5 기본서 147 참조사상자는화재현장에서사망한사람과부상당한사람을말한다 . ( 단 , 화재현장에서부상을당한후 3주이내에사망한경우에는당해화재로인한사망으로본다 .)
ol x""/><div>중상</div><div>경상</div>"	"<img src=""paste-5e3fe93ea5efd6340c5263a4042cd6532c919a28.jpg"" title/>X<div><img src=""paste-792cdefbe32eaae7330bc33e5cd69819fc1a14c5.png"" title/><br/></div>"
"<img src=""paste-6504cd1ea754f10efe7cb2bedfd26b235124fb57.jpg"" title=""93 &lt;&gt; 가본서 0147 참조부상자중경상은중상이외의부상을말하며 , 입원치료를필요로하지않는것과병원치료를필요로하지않고단순하게연기를흡입한사람을포함한다 .
ㅇ 1×""/>"	"<img src=""paste-89422f37dc0749fbeee27864830ab9c867f393a7.jpg"" title/>X<div><img src=""paste-792cdefbe32eaae7330bc33e5cd69819fc1a14c5.png"" title/><br/></div>"
"<img src=""paste-60c626145a49269ed86ad023bd2fc9e87815b3f4.jpg"" title=""94 &lt;5 기본서 0148 참조목조또는내화조건물의경우격벽으로방화구획이되어있는경우도 22 동으로한다 .
@ |\""/>"	"<img src=""paste-71262f8dbb2fd0ab870d6aed22733bd2580bd586.jpg"" title/>O<div><img src=""paste-7ec16f54048352ea7e5721abe571647383f23594.png"" title/><br/></div>"
"<img src=""paste-9edf319130933910bdf7fb038a0c1cba936f74f8.jpg"" title=""95 기본서 6148 참조주된건물에부착된건물이옥내로출입구가연결되어있는경우와기계설비등이쌍방에연결되어있는경우등건물기능상하나인경우에는다른동으로한다 .
ㅇ 1×""/>"	"<img src=""paste-49a05e4a75f6b76e1f9dca2408b1adbdf48da1bc.jpg"" title/>X<div><img src=""paste-7ec16f54048352ea7e5721abe571647383f23594.png"" title/><br/></div>"
"<img src=""paste-012893e304000ca45b3f9c8ac17073ad7e40499f.jpg"" title=""96 &lt;5 기본서 0149 참조건물의소실면적산정은소실입체면적으로산정한다 .""/><div><img src=""image-1272484e5f6652a3865cbd0380936e96c164aa1a.jpg"" title=""구분 ug
© 건축 ㆍ 구조물의소실정도는다음에따른다 .
전소 | 29| NPOISRE 8 비를 2, st 2001 Skt
거나 / 또는그미만이라도잔존부분을보수하여도재사용이불가능한것받소 | ol 88% o1y @ 미민이소실된것부분소 | 위에해당하지아니하는것
@ 자동차 ㆍ 철도차량 , 선박 ㆍ 항공기등의소실정도는 09 규정을준용한다 .
0 건물의소실면적산정은 , 소실 000 면적으로산정한다 .
@ 수손및기타파손의경우에도 0) 의규정을준용한다 .
초실정도
o
5
소실면적""/><br/></div>"	"<img src=""paste-f0afba6b23befe035a50ad005614954ac256c967.jpg"" title/>X<div><img src=""paste-a55068e5b8b24597241be530f4b3e48590903d31.png"" title/><br/></div>"
"<img src=""paste-15222632ea6e8b1a250b33c5a580fd74fe1b49d4.jpg"" title='97 &lt;5 기본서 6149 참조건축물의 50[%] 가소실되고잔존부분을보수하여도재사용이불가능한경우에는
"" 반소 ” 에해당한다 .
@'/><div>70 입체면적 or 재사용 불가 </div><div>30 70</div>"	"<img src=""paste-9fb9853799b03f4e8c21ad216442a2b2c42f2be7.jpg"" title/>X<div><img src=""paste-a55068e5b8b24597241be530f4b3e48590903d31.png"" title/><br/></div>"
"<img src=""paste-3e6c8441b22b48031155c4681849298af4fc11e9.jpg"" title=""98 &lt;&gt; 가본서 6.49 참조화재피해금액은화재당시의피해물과동일한구조 , 용도 , 질 , 규모를재건축또는재구입하는데소요되는가액에서경과연수등에따른감가공제를하고현재가액을산정하는실질적 - 구체적방식에따른다 . 다만 , 회계장부상구매가격이입증된경우에는그에따른다 .
ㅇ 1×""/>"	"<img src=""paste-2c040468a7501fbb1e60be38aa2340c83a1660bf.jpg"" title/>X<div><img src=""paste-fe676f91e781e7f27ce1bbc41d8c8fb39f079fd8.png"" title/><br/></div>"
"<img src=""paste-9ad717ea22d9c94dd28066ad7f3e31122f872312.jpg"" title=""99 &lt;&gt; 기본서 0149 참조정확한피해물품을확인하기곤란한경우에는소방청장이정하는 「 화재피해금액산정매뉴얼 .」』 의간이평가방식으로산정해야한다 .
ㅇ 1×""/>"	"<img src=""paste-40fd3ff77bfbb1b8f1443c3fbe07a581183a8ed2.jpg"" title/>X<div><img src=""paste-fe676f91e781e7f27ce1bbc41d8c8fb39f079fd8.png"" title/><br/></div>"
"<img src=""paste-6bd562b7765de136742b233fd114a4bd891a90d0.jpg"" title='100 &lt;&gt; 가본서 0149 참조화재피해금액의산정기준중건물의화재피해금액은 "" 신축단가 (7"" 당 )× 소실면적 *[1
-(0.8× 내용연수 / 경과연수 )]× 손해율 ” 로산정한다 .
ㅇ 1×'/>"	"<img src=""paste-6211e7f2038659d2b3020912a7521570f8530fd9.jpg"" title/>X<div><img src=""paste-fe676f91e781e7f27ce1bbc41d8c8fb39f079fd8.png"" title/><br/></div>"
"<img src=""paste-e7cd8b672ad94bf00116e98b91be71b37250e1f0.jpg"" title=""101 &lt;5 기본서 0150 참조샤상자가 30 명이상이거나 2 개시 - 도이상에걸쳐발생한화재 ( 임야화재는제외한다 .) 가발생한경우에는소방본부장이화재합동조사단을구성하여운영하는것을원칙으로한다 .""/><div>본부장</div><div>서장</div>"	"<img src=""paste-3f5138c946ffef8b8737441d8ca88bb93c1c3645.jpg"" title/>X<div><img src=""paste-8d8ae572e15b07f6221363243e0151a5ec76a3fd.png"" title/><br/></div>"
"<img src=""paste-1643d4aa806aae952867b731c73f449b2ae44c30.jpg"" title=""102 &lt;&gt; 기본서 0150 참조재산피해액이 50 억원이상발생한화재 ( 임야화재는제외한다 .) 의경우소방서장이화재합동조사단을구성하여운영하는것을원칙으로한다 .
ㅇ 1×""/><br/>1. 사망자 ( )명, 사상자 ( )명<br/>2. 이재민 ( )명<br/>3. 재산 ( )억원<br/>4. 층수 ( )층 건축물<br/>5. 지정수량 ( )배 제조소, 저장소, 취급소<br/>6. 층수 ( )층 OR 객실( )실 숙박<br/>7. 층수 ( )층 OR 병상 ( )개 병원<br/>8.연면적 ( ) 공장<br/>9. 톤수 ( )톤 선박<br/>조사결과보고 : 화재발생일 ( )일<br/>위에 해당하지 않는 조사결과보고 : 화재발생일 ( )일"	"<img src=""paste-fdef597a17fde4cb74aa3097162cbc19f0d1abca.jpg"" title/>X<br/><img src=""paste-d82233d124e39c333231b1c65f1186180ef06fca.jpg"" title/><br/><div><img src=""paste-11ffeed1bb825e90e6ccddb1254bbc550557ded6.png"" title/><br/></div>"
"<img src=""paste-687ab8df582c51f6cbf911dba63dbffbfb41010f.jpg"" title=""103 &lt;5 기본서 0150 참조사망자가 5인이상발생하거나사상자가 10 인이상발생한화재 , 이재민이 100 인이상발생한화재 , 항구에매어둔총톤수가 1 천톤이상인선박에서발생한화재는모두소방관서장이화재합동조사단을구성하여운영할수있다 .
ㅇ 1×""/><br/>1. 사망자 ( )명, 사상자 ( )명<br/>2. 이재민 ( )명<br/>3. 재산 ( )억원<br/>4. 층수 ( )층 건축물<br/>5. 지정수량 ( )배 제조소, 저장소, 취급소<br/>6. 층수 ( )층 OR 객실( )실 숙박<br/>7. 층수 ( )층 OR 병상 ( )개 병원<br/>8.연면적 ( ) 공장<br/>9. 톤수 ( )톤 선박<br/>조사결과보고 : 화재발생일 ( )일<br/>위에 해당하지 않는 조사결과보고 : 화재발생일 ( )일"	"<img src=""paste-8d1b4b84a5cd73fe8d31c35e7bcbeb16f0454480.jpg"" title/>O<div><img src=""paste-11ffeed1bb825e90e6ccddb1254bbc550557ded6.png"" title/><br/></div>"
