#separator:tab
#html:true
"<img src=""paste-2e20aad60f1f180979c519f3a8090a52fd16de09.jpg"" title=""이 &lt;&gt; 기본서 6.232 참조소방시설의분류에는소화설비 , 경보설비 , 비상구조설비 , 소화용수설비및소화활동설비가있다 .
o1x""/>"	"<img src=""paste-621e03ce54aa0939f411925459d38328d48e6516.jpg"" title/>X"
"<img src=""paste-fc4b4a0eb1293452136d04ad0b7f0ee494d70f56.jpg"" title=""57 &lt;&gt; 기본서 6.279 참조폐쇄형스프링클러헤드를사용하는스프링클러설비의방식은습식, 건식, 준비작동식및부압식스프링클러설비이다 .
ㅇ 1×""/>"	"<img src=""paste-ad562c702c9e24db53835178addb7a92da6cd053.jpg"" title/>O<div><img src=""paste-2ff7867f3eaf70ed402d8c4544354129df958955.png"" title/><br/></div>"
"<img src=""paste-41fa71887d3cb641eaeadb471866217fb8e78999.jpg"" title=""58 &lt;&gt; 기본서 0.280 참조습식, 건식및부압식스프링클러설비는유수검지장치의기능및성능을시험할수있는시험장치를설치해야하는대상에해당한다 .
ㅇ 1×""/><div><img src=""image-a52cd6fe7934a1275d15c8e072c3a20b25118ada.jpg"" title=""""/><br/></div>"	"<img src=""paste-60f7e2bcbb5142f7475398aa302fd69b399553db.jpg"" title/>O<div><img src=""paste-e407e5b0861303767153fd1c79b33e9cf0d4439a.png"" title/><br/></div><div><img src=""image-81ae170a728499dd4da224380cff8e465a3e25b7.png"" title/><br/></div>"
"<img src=""paste-981a48d64b18fe6af18d389dbda4e3bbe921535c.jpg"" title=""59 &lt;&gt; 기본서 0.279 참조습식스프링클러설비에설치하는유수검지장치는알람체크밸브라고하며 , 준비작동식스프링클러설비에설치하는유수검지장치는프리액션밸브라고한다 .
ㅇ 1×""/><div><img src=""image-a52cd6fe7934a1275d15c8e072c3a20b25118ada.jpg"" title=""""/><br/></div>"	"<img src=""paste-d52057b4fee01043b6ba3d5f65ebf76e97b1c055.jpg"" title/>O<div><img src=""paste-81ae170a728499dd4da224380cff8e465a3e25b7.png"" title/><br/></div>"
"<img src=""paste-0111796914589f69b2a72d66b3b5df41961a486d.jpg"" title=""60 &lt;&gt; 기본서 0.281 참조리타팅챔버는자동경보밸브에설치되어누수로인한건식유수검지장치의오동작을방지하여안전장치의역할을하는장치를말한다 .""/>"	"<img src=""paste-224f5b52fb8987d92e668bd005435a5ccfe0388d.jpg"" title/>X<div><img src=""paste-8edeefea8ee020c91874d23a91d3473cc1b37350.png"" title/><br/></div>"
"<img src=""paste-60bc7dc7dba0a047af17475b681131fb3138790f.jpg"" title=""61 &lt;&gt; 기본서 0.202 참조건식스프링클러설비의구성요소로는폐쇄형헤드 , 감지기 , 긴급개방장치 , 솔레노이드밸브 , 압력스위치및자동식공기압축기등이있다 .
o1 x""/>"	"<img src=""paste-a57073e2f19f91904414f09784ee01710367e622.jpg"" title/>X<div><img src=""paste-8965f9687a87e7203af6caebea1bb06e88f3f2db.png"" title/><br/></div>"
"<img src=""paste-33b5fdaf2114b6344902e6220788d59630363e1e.jpg"" title=""62 &lt;&gt; 기본서 0.284 참조준비작동식스프링클러설비란가압송수장치에서준비작동식유수검지장치 1 차측까지배관내에항상물이가압되어있고 , 2 차측에서폐쇄형스프링클러헤드까지압축공기또는질소로있다가화재발생시감지기의작동으로준비작동식밸브가개방되면폐쇄형스프링클러헤드까지소화수가송수되고 , 폐쇄형스프링클러헤드가열에의해개방되면방수가되는방식의스프링클러설비를말한다 .
ㅇ 1×""/>"	"<img src=""paste-407e54496263adfecd41eaa01f137cd11b1d24d5.jpg"" title/>X<div><img src=""image-3ae12e7aa083cdd3fed902679f041dc7c512d304.png"" title/><br/><div><img src=""paste-dd5a143f80d1ee0af188f55be85f985ca8b36029.png"" title/><br/></div></div>"
"<img src=""paste-4747ee6ec8974d6d546450fff49e9ad8a7a7eebe.jpg"" title=""63 &lt;5 기본서 0.284 참조준비작동식스프링클러설비의화재감지기회로방식은교차회로방식이다 .""/>"	"<img src=""paste-f9ccf931afb4f45f144e9cc28d6f69cbd290b855.jpg"" title/>O<div><img src=""paste-47e8e139cc7393ed1beffd97369366d322d0d731.png"" title/><br/></div>"
"<img src=""paste-63658129931dd7757b2466c24b997d880422f764.jpg"" title=""64 &lt;&gt; 기본서 0.287 참조일제살수식스프링클러설비의구성요소로는개방형스프링클러헤드 , 델류지밸브 ,
화재감지기 , 수동조작함 , 솔레노이드밸브 , 압력스위치 , 방출표시등이있다 .
1""/>"	"<img src=""paste-c7fb0e92d44c8f3f7c0a920f816c0a8d4f87cc0e.jpg"" title/>X<div><img src=""paste-80c6164b548f73e206ba912a0c4cd5dd07edf0ce.png"" title/><br/></div>"
"<img src=""paste-c0af6eadfd600293fc46d524eaadb8736998418e.jpg"" title=""65 {7124 p.280~290 HZE
옥외장소또는동결우려장소에사용할수있는스프링클러셜비는건식, 준비작동식및일제살수식스프링클러설비이다 .
ㅇ 1×""/>"	"<img src=""paste-100d80c8c1f91e2fd1f6558a06829087f64756ab.jpg"" title/>O<div><img src=""paste-3ae12e7aa083cdd3fed902679f041dc7c512d304.png"" title/><br/></div>"
"<img src=""paste-174da6c86a04e593333094eec1217b2196a6c7de.jpg"" title=""66 &lt;5 기본서 .289 참조부압식스프링클러설비의구성요소에는폐쇄형스프링클러헤드 , 프리액션밸브 , 진공펌프및진공압력스위치등이있으며 , 진공펌프는화재시에동작하여소화수를방출해주는역할을수행한다 .""/>"	"<img src=""paste-a591eff614f84d0f8a799cb87a98608c27febeef.jpg"" title/>X<div><img src=""paste-01537a13775bc07e7233f62ff8e49c92f6d63b96.png"" title/><br/></div>"
"<img src=""paste-0e3af68d09924c6ce372924fd7061141fabb7321.jpg"" title=""67 &lt;&gt; 기본서 0.291 참조습식스프링클러설비및부압식스프링클러설비외의설비에는하향식스프링클러헤드를설치하여야 B, 다만 , 개방형스프링클러헤드를사용하는경우에는그렇지않다 .
01×""/>"	"<img src=""paste-a218174159c6ae8f4e545c7dcc6b3e64a6ff6a0e.jpg"" title/>X<div><img src=""paste-853df5907e24af6bcd181992c4650321d0abcd79.png"" title/><br/></div>"
"<img src=""paste-4b18cabe76d84c550ac92df3800e3b5800e08fdf.jpg"" title=""68 &lt;5 기본서 0.291~292 참조스프링클러설비는건물의규모에따라방사시간이 20 분 , 40 분또는 60 분이상이며 ,
간이스프링클러설비는건축물의용도및규모에따라방사시간이 10 분또는 20 분이상이다 . 또한 , 화재조기진압용스프링클러설비는방사시간이 60 분이상이다 .
ㅇ 1×""/>"	"<img src=""paste-9cabb424a4673328cef607a868e87dd625e5059c.jpg"" title/>O"
"<img src=""paste-7e89fb863d77ae3276976ae1a61d6bf22b5471ba.jpg"" title=""69 5 기본서 6.293 참조물분무소화설비의소화효과로는질식소화 , 냉각소화 , 유화소화및억제소화가있다 .
ㅇ 1×""/>"	"<img src=""paste-dd942a28fff201596fb63c1f7ca67c2a88a07813.jpg"" title/>X"
"<img src=""paste-e610ff81b0931f916f427e00e168ea36ac86abfa.jpg"" title=""70 &lt;5 기본서 0.294 참조
“ 미분무 ” 란물만을사용하여소화하는방식으로최소설계압력에서헤드로부터방출되는물입자중 90[%] 의누적체적분포가 200[/0] 이하로분무되고 A, B, &lt; 급화재에적응성을갖는것을말한다 .
ㅇ 1×""/>"	"<img src=""paste-27ee5e5d4976d739512e4aa0e3be7ada69a625ec.jpg"" title/>X<div><img src=""paste-369a74d36427e07ce8b79fc4c4e293621a700333.png"" title/><br/></div>"
"<img src=""paste-b169f3a8b1af516c07d47360ea0150262c378228.jpg"" title=""71 &lt;&gt; 기본서 0.294 참조
“ 고압미분무소화설비 ” 란최저사용압력이 1.2[1402] 을초과하는미분무소화설비를밀말한다 .
ㅇ 1×""/><div>고압</div><div>중압</div><div>저압</div>"	"<img src=""paste-612d50d3a0857544b13ad933b20eddd075d3ca0a.jpg"" title/>X<div><img src=""paste-369a74d36427e07ce8b79fc4c4e293621a700333.png"" title/><br/></div>"
"<img src=""paste-2029e13205c680c3319db538d38f3f58b1d88c12.jpg"" title=""72 &lt;&gt; 기본서 0.296 참조농도가 6[%] 인포원액 300[ ㄴ ,] 에는포수용액이 45,000[Ｌ] 만큼형성된다 .
ㅇ 1×""/>"	"<img src=""paste-c30cc3e1abb827f4892b3eaf580319db6b455929.jpg"" title/>X<div><img src=""paste-53cbb127850a9e5c5ff7ab294414380a21ba564b.png"" title/><br/></div>"
"<img src=""paste-b4ae695c1859903394142e644a58f3b72abac36e.jpg"" title=""73 &lt;&gt; 기본서 0.297 참조압축공기포소화설비는압축공기또는압축질소를일정비율로포수용액에강제주입혼합하는방식을말한다 .
ㅇ 1×""/>"	"<img src=""paste-32f8bfec9dd2e9e32f63627cf3ea5870065e3dca.jpg"" title/>O<div><img src=""paste-21c20c097b407190e24fab675d31d3a52ebc45ae.png"" title/><br/></div>"
"<img src=""paste-86ff92276ca7af61aa842cb61a0d4cc1c2ddf106.jpg"" title=""74 &lt;&gt; 기본서 0.298 참조프레져사이드프로포셔너방식이란펌프와발포기의중간에설치된벤추리관의벤추리작용에따라포소화약제를흡입 - 혼합하는방식을말한다 .
ㅇ 1×""/><div>적용장소</div>"	"<img src=""paste-8816c868e60436a4049c611ed8eb6f2795cc62a5.jpg"" title/>X<div><img src=""paste-4217e3861e86b161ab3cad4648add2e54997c9a9.png"" title/><br/></div>"
"<img src=""paste-592cfb783fbb755f2ea22bcce41fc421ada83ed8.jpg"" title=""75 &lt;&gt; 기본서 .298 참조팽창비란최종발생한포수용액체적을원래포체적으로나눈값을말한다 .
ㅇ 1×""/>"	"<img src=""paste-3f3cd59b35bab5420832632ba1c1b055b152f352.jpg"" title/>X"
"<img src=""paste-f4440307bdfadb94fac27b5c65d2872bbd6c1c27.jpg"" title=""76 &lt;&gt; 기본서 .299 참조차압혼합방식이란펌프의토출관에압입기를설치하여포소화약제압입용펌프로포소화약제를압입시켜혼합하는방식을말하며 , 정확한비율로혼합할수있는장점이있다 .
ㅇ 1×""/>"	"<img src=""paste-ba921b2e5a22cb7d502d4d807d371b0a9bb44752.jpg"" title/>X<div><img src=""paste-90dc431f60db5152fc51308db43ecf9463f91f35.png"" title/><br/><div><img src=""paste-5fa6b634de9b16a37aca12a439c2af20067e19f9.png"" title/><br/></div></div>"
"<img src=""paste-b378b7562b3193938a2df148af877aeb30abe022.jpg"" title=""77 &lt;&gt; 기본서 0.298 참조펌프프로포셔너방식은화학소방차에주로사용하는방식이다 ,""/>"	"<img src=""paste-65cb8197f31a28dc13bcb961d3d89c4fdc65b645.jpg"" title/>O<div><img src=""paste-038bf189ab65f570e2ce0f5712c355aafb030fee.png"" title/><br/></div>"
"<img src=""paste-51342cbe9e3866c6d9ddb64d186569ab2a03b084.jpg"" title=""78 5 기본서 0.298 참조관로혼합방식은혼합기의압력손실이적고 , 흡입가능한유량의범위가넓다 .
ㅇ 1×""/>"	"<img src=""paste-b30398eeb16ddb7b94cbc34cb7a776ee89f2c656.jpg"" title/>X<div><img src=""paste-038bf189ab65f570e2ce0f5712c355aafb030fee.png"" title/><br/></div>"
"<img src=""paste-d193fc6918dd3f7aa8b65925f61bf16e10ce1cae.jpg"" title=""79 &lt;5 기본서 0.299 참조프레져프로포셔너방식중다이어프램이설치된압송식의경우약제원액잔량을버리고다시충전하여사용하여야한다 .
ㅇ 1×※×""/><div>적용장소</div>"	"<img src=""paste-2da342da8b278d68b19258d61e50dca4c683953c.jpg"" title/>X<div><img src=""paste-d1391896bc5b9fc417afdfe97a89dfbf28b947b9.png"" title/><br/></div>"
"<img src=""paste-6e3e08f8d89012cc1cea2980ebc54978aaa5b3b5.jpg"" title=""80 &lt;5 기본서 0.299 참조압입혼합방식은포소화전 , 소규모또는이동식소화설비에많이사용한다 .""/>"	"<img src=""paste-241b0b8f939550f7b067ad254a4bf576afbc1cd4.jpg"" title/>X<div><img src=""paste-d1391896bc5b9fc417afdfe97a89dfbf28b947b9.png"" title/><br/></div>"
"<img src=""paste-b1694bd36a54d6c71589d3688fe6115632b8748b.jpg"" title=""81 O71EM p30
이산화탄소소화설비를저장방식에따라분류할경우자동냉동장치및압력경보장치를필요로하는고압저장방식과자동냉동장치및압력경보장치를필요로하지않는저압저장방식으로분류된다 .
ㅇ 1×""/>"	"<img src=""paste-41345f88d30b15cd22512f23721fc2cbbe6cc725.jpg"" title/>X<div><img src=""paste-28b977b89755dab229b08ecec88cd18aae8386c4.png"" title/><br/></div>"
"<img src=""paste-360203a2e2c8dbed1b6a910f7ce8de72ec8d7d66.jpg"" title=""82 &lt;5 가본서 0.301 참조이산화탄소소화설비는화재감지기 , 선택밸브 , 안전밸브 , 부취발생기 , 수동잠금밸브 ,
방출표시등 , 압력스위치등으로구성된다 .""/>"	"<img src=""paste-dc834e071e86d156a2dd43eab64370843a1ab133.jpg"" title/>O<div><img src=""paste-28b977b89755dab229b08ecec88cd18aae8386c4.png"" title/><br/></div>"
"<img src=""paste-733d756f3cc84df9c2f7ca94fe989979746f1008.jpg"" title=""83 (7144 p.302-303 E
이산화탄소소화설비에설치되는기동용기의가스는압력스위치및자동폐쇄장치를작동시키는역할을한다 .
ㅇ 1×""/>"	"<img src=""paste-b49acce0144e7bf47876c4cfab182d3903ed3b20.jpg"" title/>X<div><img src=""paste-2ce0c44c9e69b1272181f47987f1bd54e7518246.png"" title/><br/></div><div><img src=""paste-e772f1e0c4c5dcf5afa8bdffde5c596e960f0db8.png"" title/><br/></div>"
"<img src=""paste-84ee270993a72f315413fcf0708bdaa2fc33cbf6.jpg"" title=""84 &lt;5 기본서 6.304 참조안전밸브란 2 개소이상의방호구역또는방호대상물에대해소화약제저장용기를공용으로사용하는경우에사용하는밸브로서자동또는수동개방장치에의해개방되어화재가발생한방호구역만소화약제가방출될수있도록하는밸브이다 .
ㅇ 1※""/><div>( )</div><div>가스관 선택밸브의 2차측에 설치하여 소화약제를 방출 시의 압력을 이용하여 접점신호를 형성하여 제어반에 입력시켜 방출표시등을 점등시키는 역할을 한다.</div><div>( )</div><div>과압방지밸브로 과압발생 시 안전밸브 내부의 봉판이 파괴되어 압력이 외부로 배출되어 저장용기 또는 배관을 보호하는 목적으로 설치된다.</div>"	"<img src=""paste-4268259759b6432b0b134a7b64b1d5ef64373f5f.jpg"" title/>X<div><img src=""paste-45849fd6f1df49b373c56c745c40e6e518cdf482.png"" title/><br/></div>"
"<img src=""paste-90065aed7a842ab364b7b37a4299213c75c83937.jpg"" title=""85 &lt;&gt; 기본서 305 참조전역방출방식에서환기장치등을설치한것은소화약제가방출된후에해당환기장치등이정지될수있도록하고 , 개구부및통기구가있어소화약제의유출에따라소화효과를감소시킬우려가있는것은소화약제가방출된후에당해개구부및통기구를폐쇄할수있도록자동폐쇄장치를설치해야한다 .
ㅇ 1×""/>"	"<img src=""paste-03178fd06f5708588c12fdeb6b182ba74c4feb28.jpg"" title/>X<div><img src=""paste-0272a4168fcb6b3f94d04bf79436524b4ba14dd7.png"" title/><br/></div>"
"<img src=""paste-7efeb6e0c4af45cfc8e46735a4a8df845ef76706.jpg"" title=""86 &lt;5 기본서 6.303 참조이산화탄소소화설비의구성요소중기동용기솔레노이드가동작하면저장용기밸브개방 , 선택밸브개방 , 분사헤드가스방출순으로동작한다 .
0 ㅇ 1×""/>"	"<img src=""paste-eaadc2c20af6c6b9a5f35ef3d7d51fafdd92f899.jpg"" title/>X<div><img src=""image-e772f1e0c4c5dcf5afa8bdffde5c596e960f0db8.png"" title/><br/></div>"
"<img src=""paste-cb7664f4d2f92d9d220a6a8125674665c18740ec.jpg"" title=""87 &lt;5 기본서 0.307 참조이산화탄소소화설비의저장용기를설치하는장소는직사광선및빗물이침투할우려가없는곳에설치하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-ee67c22711315bc2f7ee4772ea45d070fcaf0cd9.jpg"" title/>O<div><img src=""paste-0abca3a69ff6794747d44eba6dcdffdd00c60f3e.png"" title/><br/></div>"
"<img src=""paste-1d3846485e5d2cd84e8f4eb691c9702a1720cf6e.jpg"" title=""88 &lt;&gt; 기본서 0.309 참조분말소화설비의구성요소중정압작동장치는고압으로저장된가압용가스용기에서압력을감소시켜저장탱크로보내는장치를말한다 .
ㅇ 1×""/>"	"<img src=""paste-53fd706672ad03ad1105e979f9857a3a627a2010.jpg"" title/>X<div><img src=""paste-b324e18bad216878c654065809053d098e389224.png"" title/><br/></div><div><img src=""paste-4dc15d94b91c0a98af13bc54726fe23e4b8b194d.png"" title/><br/></div>"
"<img src=""paste-3e29f5471e508d3a2e8212f9980bdd509c047b02.jpg"" title=""89 5 기본서 6.300 참조분말소화설비의가압용가스용기의가압용가스또는축압용가스는질소가스 (42)
또는 OF2T(Ar) 22 하여야한다 . 또한 , 배관의청소에필요한양의가스도함께저장하여야한다 .
o1x""/>"	"<img src=""paste-8e2384ceb95919f4fb8e8838dc1545eaaa609fa9.jpg"" title/>X<div><img src=""paste-c193e044f2cae628cac9076610e341c43ed71efa.png"" title/><br/></div>"
"<img src=""paste-7e1c442ccd5e79a50bb8515885df3e502a60c846.jpg"" title=""90 &lt;&gt; 기본서 0.301 참조고체에어로졸은고체에어로졸화합물의연소과정에의해생성된직경 76[/ ㅁ ] 이하의고체입자와기체상태의물질로구성된혼합물을말한다 .
ㅇ 1×""/>"	"<img src=""paste-aa8b60607c406a79570b4c89b223f6a4758eab84.jpg"" title/>X<div><img src=""paste-158e56f9d902dc97d76c81813b22cb8e5bb9644a.png"" title/><br/></div><div><img src=""paste-f1a3d08b7be193415b886d010c0cd8f2f3a06e51.png"" title/><br/></div>"
"<img src=""paste-d41789c6a45fd79ecb31f3e2e85710510ea61b50.jpg"" title=""9 &lt;5 기본서 0.31! 참조고체에어로졸소화설비는설계밀도이상의고체에어로졸을방호구역전체에균일하게방출하는설비로서압축 (&lt;00 ㅁ 060560) 방식이아닌분산 ( 미 5061560) 방식을말하며 , 고체에어로졸은전기전도성이있어야한다 .
ㅇ 1×""/>"	"<img src=""paste-54d8c0e3b0ec397acca3e234144a16ab5baeaaab.jpg"" title/>X<div><img src=""image-158e56f9d902dc97d76c81813b22cb8e5bb9644a.png"" title/><br/></div>"
"<img src=""paste-12c2d4c31be242d1c318bcca25fdf7f4b5fde615.jpg"" title=""92 &lt;&gt; 기본서 ”0.313 참조단독경보형감지기는화재발생상황을단독으로감지하여자체내장된음향장치로경보하는감지기를말하며 , 수신기와단독경보형감지기로구성된다 .
olx""/>"	"<img src=""paste-dbf25a9b63b1ebbc4b3f75f04ec4ea9014651ae1.jpg"" title/>X<div><img src=""paste-8e435ad4129c3d364abda5af551dda7b0db65715.png"" title/><br/></div><div><img src=""paste-37b4251071483c56edb8bdfb7e79c13a1470da6c.png"" title/><br/></div>"
"<img src=""paste-1f581ff51f12443d8ced9cd302d588599de80883.jpg"" title='93 5 기본서 0.313 참조단독경보형감지기는각실마다설치하되 , 바닥면적이 50[0 ㅁ ""] 를초과하는경우에는
150[mJatct 174 이상설치하여야한다 .
@ 1%'/>"	"<img src=""paste-c66ef86c5985d6dfb5617b4a2277f2cea9c6e852.jpg"" title/>O<div><img src=""image-8e435ad4129c3d364abda5af551dda7b0db65715.png"" title/><br/></div>"
"<img src=""paste-6bfb5fe3c2f3eb10633d549f4cb2aa5fe32b78ff.jpg"" title='94 7&gt; 기본서 0.314 참조비상경보설비중발신기는조작이쉬운장소에설치하고 , 조작스위치는바닥으로부
E11.5[m] 이하의높이에설치하여야하며 , 발신기의위치표시등은함의상부에설치하되 , 그불빛은부착면으로부터 15[""] 이상의범위안에서부착지점으로부터 10[ ㅁ ]
이내의어느곳에서도쉽게식별할수있는녹색등으로하여야한다 .'/>"	"<img src=""paste-0477bde627e1d24d60cfa508d70392303d56e081.jpg"" title/>X<div><img src=""paste-c0393f277b00b4436c5e10b09d2c7b1549dbbf26.png"" title/><br/></div>"
"<img src=""paste-a88778242f40d9d602deff9ab6d372e538ab4cb4.jpg"" title=""95 &lt;3 기본서 ”0.315 참조시각경보기의설치높이는바닥으로부터 0.8[m] 이상 1.5[m] 이하의높이에설치하여야한다 . 다만 , 천장의놓이가 .5[07] 이하인경우에는천장으로부터 0.15[07] 이내의장소에설치해야한다 .
ㅇ 1×""/>"	"<img src=""paste-25073360e0c7e91ed490172e15f2bb6949d483d4.jpg"" title/>X<div><img src=""paste-e317317869432386ad2a0844d12af8bdd2eb4998.png"" title/><br/></div>"
"<img src=""paste-38c5032fb05279d3322cb016fdac661a35112782.jpg"" title=""96 &lt;&gt; 가본서 0.316 참조열감지기의종류에는차동식, 정온식, 보상식이있으며 , 연기감지기의종류에는이온화식, 광전식이있다 .
ㅇ 1×""/><div>차동식 종류</div><div>정온식 종류</div>"	"<img src=""paste-158e9d41622f2b123346d5d7c8f7226474426421.jpg"" title/>O<div><img src=""paste-e60e9154ab84da0071e49c9057a50dee77574f3c.png"" title/><br/></div>"
"<img src=""paste-e3a95d15968a7ab221c4e59d27e5434fedc51418.jpg"" title=""97 &lt;&gt; 기본서 0.318 참조정온식감지선형감지기란주위온도가일정상승률이상이되는경우에동작하는것으로서넓은범위에서동작하는감지기를말한다 .
ㅇ 1&amp;""/>"	"<img src=""paste-8404e0f9d8ef6c456c03fa8bf45b6e85bf8e34bc.jpg"" title/>X<div><img src=""paste-4de99c6aa932f2e7c59c51e4000a705a94b3bc32.png"" title/><br/></div>"
"<img src=""paste-7b769e5fc6c8a0f461f7e536cc923418701abeb3.jpg"" title=""98 &lt;5 기본서 0.318 참조보상식감지기란차동식스포트형감지기와정온식스포트형감지기의성능을겸한것으로두가지의성능이모두동작되면신호를발하도록하는감지기를말한다 .
ㅇ 1×""/>"	"<img src=""paste-5af8a7fdc052c37acf5311e7bac3e1f970916cd4.jpg"" title/>X<div><img src=""paste-4de99c6aa932f2e7c59c51e4000a705a94b3bc32.png"" title/><br/></div>"
"<img src=""paste-f6ef7c5279cc89e943a6c258b72f81e56af1c466.jpg"" title=""99 &lt;5 기본서 0.318 참조광전식스포트형감지기는송광부와수광부를감지기내에구성한것으로송광부에서보낸빚이연기입자에의해산란하여수광부에서받아서광량의감소를검출하는감지기를말한다 .
ㅇ 1×""/>"	"<img src=""paste-d5bd765754ece08ba16d92a40bc2e86c65e68912.jpg"" title/>X<div><img src=""paste-4de99c6aa932f2e7c59c51e4000a705a94b3bc32.png"" title/><br/></div>"
"<img src=""paste-d3ca5e1f989ba45d906a17c578be4c3a9c1677ec.jpg"" title=""100 &lt;&gt; 기본서 6.318 참조이온화식감지기는광전식감지기보다큰연기입자의검출에유리하며 , 검은색연기입자보다는 g 회색의연기입자의감도에유리하다 .
@""/>"	"<img src=""paste-69b6d7ee01e8d59b225688f93da9bf6c91e4710e.jpg"" title/>X<div><img src=""paste-ae684a2bbd3b22434585654dd10c5ecaef2c2eb4.png"" title/><br/></div>"
"<img src=""paste-4e578c9b4259afe9ee8c3617566dab1a29ff87f3.jpg"" title=""101 &gt; 기본서 0.320 참조아날로그식감지기는주위의온도또는연기의양의변화에따라각각다른전류치또는전압치등의출력을발하는방식의감지기로서화재판단을수신기가하는감지기를말한다 .
ㅇ 1×""/>"	"<img src=""paste-22fdd1851e6bd029b475c1416e21762618bdce33.jpg"" title/>O<div><img src=""paste-2ba34670368ff0b5593ebd7bc969a588b3081aa2.png"" title/><br/></div>"
"<img src=""paste-c48a79051bd095dcf1c2e3fea55489e45cd889ce.jpg"" title=""102 &lt;&gt; 기본서 0.320 참조분포형감지기 , 정온식감지선형감지기 , 광전식분리형감지기등은오동작을방지할수있는신뢰도가높은감지기에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-3dfac1c90801f11debf106b4d2564d06dc2a722a.jpg"" title/>O<div><img src=""paste-2ba34670368ff0b5593ebd7bc969a588b3081aa2.png"" title/><br/></div>"
"<img src=""paste-f72507834d29b71c2d5ea571e9f4b0a0d5b7157f.jpg"" title=""103 &gt; 기본서 0.321 참조감지기부착높이가 8[m] 이상 15[07] 미만인곳에는차동식스포트형감지기를설치할수있다 .
01X""/>"	"<img src=""paste-c66c7772c76b52eb55708b9dfee9aa35c488df94.jpg"" title/>X<div><img src=""paste-50ca369520823ca7ea844726429637e39da9ef9b.png"" title/><br/></div>"
"<img src=""paste-d135c140565699bebcc7e9a320b1c7abcdcdb49f.jpg"" title=""104 &lt;5 기본서 0.324 참조형수신기란감지기또는발신기로부터발하여지는신호를직접또는중계기를통하여공통신호로서수신하여화재의발생을해당특정소방대상물의관계자에게경보하여주는것을말하며 , 신호를개별전송방식으로전송하는것을의미한다 .
ㅇ 1×""/>"	"<img src=""paste-a15c4533ece6121b42019ec96743dcf26f911e02.jpg"" title/>X<div><img src=""paste-acd0f6e5da8315690a2ce443d1cc18eb08e16c3e.png"" title/><br/></div>"
"<img src=""paste-028618bc8e478c3a3fc9c0e9fa641cc3b13c35c5.jpg"" title=""105 &lt;&gt; 기본서 0.325 참조경계구역이란특정소방대상물중화재신호를발신하고그신호를수신및유효하게제어할수있는구역을말한다 .
@ ㅣ ※""/>"	"<img src=""paste-3e81e41559dbfaab8e49ec7ae65945521f709a02.jpg"" title/>O<div><img src=""paste-2047c9df7202cffa4ce16d4369119087e1786cb2.png"" title/><br/></div>"
"<img src=""paste-b62d3462776a50a220b3ae0f372f3583ad9c29ae.jpg"" title=""106 5 가본서 ”0.325 참조하나의경계구역의면적은 500[07?)] 이하로하고한변의길이는 60[m] 이하로할것 . 다만 , 해당특정소방대상물의주된출입구에서그내부전체가보이는것에있어서는한변의길이가 60[07] 의범위내에서 1,500[m?] 이하로할수있다 .
0 ㅇ 1×""/>"	"<img src=""paste-1d28413b621adcc6fbfa6d94b7bcec2b010da400.jpg"" title/>X<div><img src=""paste-2047c9df7202cffa4ce16d4369119087e1786cb2.png"" title/><br/></div>"
"<img src=""paste-16540bb66e991a35921e254795a2e1c1a1f12f35.jpg"" title=""107 &lt;5 기본서 0.327 참조지하 3 층 , 지상 20 층인공동주택의지하 1 충에서화재가발생하였을경우경보하여야하는 2 지하전체층 , 지상 15 ~ 지상 4 층이다 .""/><div><img src=""image-e38cded99c5195e6a2ced6db87855dd3b878298f.jpg"" title=""10 층 ( 공동주택 15 층 ) 이하
11 층 ( 공동주택 16 층 ) 이상""/><br/></div>"	"<img src=""paste-179a130df974a59ffe29fd3cde277469dc3a2726.jpg"" title/>X<div><img src=""paste-c5d384caf5c4853e61c3dbf53a8d23af15ee5073.png"" title/><br/></div>"
"<img src=""paste-71eb80024d59346484f2ed569be86362c753a8e5.jpg"" title=""108 &lt;&gt; 기본서 0327 참조자동화재탐지설비의음향은음향의크기는부착된음향장치의중심으로부터 107 ㅁ ]
떨어진위치에서 70[08] 이상이되는것으로하여야한다 .
ㅇ 1""/><div>가스누설경보기 음향</div>"	"<img src=""paste-a3b27c5f717c1936df9f7f49362b989e6d8dcf5b.jpg"" title/>X<div><img src=""paste-c5d384caf5c4853e61c3dbf53a8d23af15ee5073.png"" title/><br/></div>"
"<img src=""paste-906b0ded98cd150b920fab031e0a9f7e81f8165d.jpg"" title=""109 &lt;5 기본서 0.328 참조비상방송설비중증폭기는소리를크게하여멀리까지전달될수있도록하는장치로써일명스피커를말한다 .
ㅇ 1×""/>"	"<img src=""paste-cbd05bb72da99126a87185e14af2bdc04fec631d.jpg"" title/>X<div><img src=""paste-369136ce06d4b739e1e60cfa59086c822dbf1e64.png"" title/><br/></div>"
