#separator:tab
#html:true
"<img src=""paste-6d5132053d0c1b9c309241f12c4141da0547784b.jpg"" title=""o1 &lt;&gt; 기본서 0.461 참조아네스 (8「. J. Anesth) = 재난을크게자연재난과인적 ( 인위 ) 재난으로구분하였고 ,
E2(David K. Jones)i= 재난을크게자연재난 , 준자연재난 , 인적 ( 인위 ) 재난으로구분하였다 .
ㅇ 1×""/>"	"<img src=""paste-169dc9379efe37462e679265562426bd69870c23.jpg"" title=""""><img src=""paste-f3068d8217a1f6d8f33ca7a7939fdde2a08d4ba5.jpg"" title=""""><div><img src=""paste-b174d33c8b1ce9abbe83fa567c663efe255c957b.png"" title=""""><br></div>"
"<img src=""paste-716a43c61b889a450a3764bbd0518cf655881733.jpg"" title=""41 &lt;&gt; 기본서 0.492 참조중앙대책본부의본부장은행정안전부장관이되며 , 중앙대책본부장은중앙대책본부의업무를총괄하고필요하다고인정하면중앙재난안전대책본부회의를소집할수있다 . 다만 , 해외재난의경우에는외교부장관이 , 「 원자력시설등의방호및방사능방재대책법 」』 에따른방사능재난의경우에는중앙방사능방재대책본부의장이각각중앙대책본부장의권한을행사한다 .
0 ㅇ 1×""/>"	"<img src=""paste-c2eabd412fb91422d4d783c1b197b245929e7473.jpg"" title/><img src=""paste-df0934622054747feb23698881ce22aa945edd44.jpg"" title/><div><img src=""image-949638ebeaacce8c611bbe8e56c76cf6cc14aa30.jpg"" title/><br/></div>"
"<img src=""paste-a34598966ecf33e3e175cf790838f4496aa7556a.jpg"" title=""42 &lt;&gt; 기본서 0.492 참조재난의효과적인수습을위하여국무총리가범정부적차원의통합대응이필요하다고인정하는경우에는대통령이중앙대책본부장의권한을행사한다 .
ㅇ 1×""/>"	"<img src=""paste-43f430c05a0036f5c52c099cb13e55f06ea652c3.jpg"" title/><img src=""paste-df0934622054747feb23698881ce22aa945edd44.jpg"" title/><div><img src=""image-949638ebeaacce8c611bbe8e56c76cf6cc14aa30.jpg"" title/><br/></div>"
"<img src=""paste-f928476500e368312ba46f529298d331431303eb.jpg"" title=""43 &lt;&gt; 기본서 0.495 참조중앙대책본부회의에서는재난복구계획에관한사항 , 재난예방대책에관한사항 , 재난응급대책에관한사항 , 재난에따른피해지원에관한사항을심의한다 .
ㅎ 1※""/><div>지대본</div>"	"<img src=""paste-9f4cf05c9adcaebb3398d3ed333535c9744b53ee.jpg"" title/><img src=""paste-df0934622054747feb23698881ce22aa945edd44.jpg"" title/><div><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);"">응급복구 머니예방<br/></span><div><img src=""paste-e6deaca5ac199c2e1df3bbfa0fcdfa43c5c5601e.jpg"" title/><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);""><br/></span><div><img src=""paste-6784ba92b489d50aee413d21f1ad89ab917e0b12.png"" title/><br/></div></div></div>"
"<img src=""paste-62379ded94f808b7c39f61495e0b23b50b82a6e1.jpg"" title=""44 &lt;5 기본서 0.496 참조특수기동구조대의대원은소방청중앙소방학교및해양경찰청중앙해양특수구조단소속공무원중에서선발한다 .
o1x""/>"	"<img src=""paste-bd437c4e2f4e8bc98882900566f6bb8def7e6f16.jpg"" title/><img src=""paste-df0934622054747feb23698881ce22aa945edd44.jpg"" title/><div><img src=""paste-e6deaca5ac199c2e1df3bbfa0fcdfa43c5c5601e.jpg"" title/><br/></div>"
"<img src=""paste-acea65673630903a2ddd076aeba1909b6db516e7.jpg"" title=""45 &lt;&gt; 기본서 0.497 참조중앙사고수습본부의장은해당재난관리책임기관의장이되며 , 중앙사고수습본부의장은지역사고수습본부를운영할수있다 .
ㅇ 1×""/><div>설치 운영권자 </div>"	"<img src=""paste-8847c16378e62d48a31c80a1cb3a4c32dcec8d97.jpg"" title/><img src=""paste-7e5ebf55bb040bceeb89ede23d4bde928a303b82.jpg"" title/><div><img src=""paste-e6deaca5ac199c2e1df3bbfa0fcdfa43c5c5601e.jpg"" title/><br/></div>"
"<img src=""paste-ea74ac492a78a7ef2701fbb8df666da13f351d5e.jpg"" title=""46 &lt; 기본서 6.498 참조해당관할구역에서재난의수습등에관한사항을총괄 - 조정하고필요한조치를하기위하여행정안전부장관은시 - 도재난안전대책본부를두고 , 시 - 도지사는시 : 군 - 구재난안전대책본부를둔다 .
ㅇ 1×""/>"	"<img src=""paste-7cd33e708432ddc43d17304dc3e0161842acb4ff.jpg"" title/><img src=""paste-7e5ebf55bb040bceeb89ede23d4bde928a303b82.jpg"" title/><div><img src=""paste-e6deaca5ac199c2e1df3bbfa0fcdfa43c5c5601e.jpg"" title/><br/></div>"
"<img src=""paste-05bda4c45940afd7e01e019d55b240f5e1b0b862.jpg"" title=""47 &lt;&gt; 기본서 0.5 이참조행정안전부장관은재난정보의수집 - 전파 , 상황관리 , 재난발생시초동조치및지휘등의업무를수행하기위하여상시중앙재난안전상황실을설치 ㆍ 운영하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-31c781804be0ff28c0aacf56bb2ccd3daa443ec8.jpg"" title/><img src=""paste-7e5ebf55bb040bceeb89ede23d4bde928a303b82.jpg"" title/><div><div><img src=""image-2666bf490bb85dfab02ea6cd026b839040e5b3c9.jpg"" title/><br/></div></div><div><img src=""paste-277f010be37607b0041e15c133efbe55256d5bc2.png"" title/><br/></div>"
"<img src=""paste-54e6ff9b927d092324cf897ed90f974142280018.jpg"" title=""48 &lt;5 기본서 0.505 참조행정안전부장관은재난및사고로부터국민의생명 - 신체및재산을보호하기위하여
5 년마다국가의재난및안전관리업무에관한기본계획을수립하여야한다 .
&amp; 1※""/>"	"<img src=""paste-b9a6e3a17c1d51d859dc4ab704b2a6082c92ef56.jpg"" title/><img src=""paste-7e5ebf55bb040bceeb89ede23d4bde928a303b82.jpg"" title/><div><img src=""image-b72a86a5f5f54d3539f8e3c36533f949b9f6fed2.jpg"" title/><br/></div>"
"<img src=""paste-4960fce06981678200457b1869e71b21c9eb88d1.jpg"" title=""49 &lt;5 기본서 0.505 참조행정안전부장관은관계중앙행정기관의장이제출한기본계획을종합하여국가안전관리기본계획안을작성한후국무총리에게제출하고 , 국무총리는중앙안전관리위원회의심의를거쳐국가안전관리기본계획을확정한다 .
ㅇ 1×""/>"	"<img src=""paste-cde16a2fc622a637c45ab29882de788f6e784ac4.jpg"" title/><img src=""paste-5a417f82cbe13ff7e11959e4d94f3ae8f626ef4b.jpg"" title/><div><img src=""paste-87703c7286aa46930e06614236b452d231db06d1.png"" title/><br/></div><div><img src=""image-b72a86a5f5f54d3539f8e3c36533f949b9f6fed2.jpg"" title/><br/></div>"
"<img src=""paste-df0aa2f1a221fc7d353423ea7abfde6b5e717f69.jpg"" title=""50 C) 1A p.50S 참조국가안전관리기본계획에는재난의예방 - 대비 .- 대응 2 570l 필요한기반조성에관한사항이포함되어야한다 .
ㅇ 1×""/>"	"<div>전망 체중기반 + 투자 주관행</div><img src=""paste-a9b9f27b5cf17b15100da206fb642d4e5c435639.jpg"" title/><img src=""paste-5a417f82cbe13ff7e11959e4d94f3ae8f626ef4b.jpg"" title/><div><img src=""image-b72a86a5f5f54d3539f8e3c36533f949b9f6fed2.jpg"" title/><br/></div>"
"<img src=""paste-261089a3483505c8eea8f99e350bdb21c1e33404.jpg"" title=""51 &lt;&gt; 기본서 0.506 참조관계중앙행정기관의장은통보받은국가안전관리기본계획에따라매년그소관업무에관한집행계획을작성하여중앙안전관리위원회의심의를거쳐확정한다 .
ㅇ 1×""/>"	"<img src=""paste-e60455b1a253563f63dab15cbba2e7e9c3a381dc.jpg"" title/><img src=""paste-5a417f82cbe13ff7e11959e4d94f3ae8f626ef4b.jpg"" title/><div><img src=""image-b72a86a5f5f54d3539f8e3c36533f949b9f6fed2.jpg"" title/><br/></div>"
"<img src=""paste-0c90ac154c20d36f96a12b8290414ae14d219fa4.jpg"" title=""52 &lt;&gt; 기본서 0.508 참조행정안전부장관은시도안전관리계획에따라매년시 - 군 - 구안전관리계획의수립지침을작성하여시장 - 군수 - 구정장에게통보하여야한다 .
O X""/>"	"<img src=""paste-afaeeee5992357bced2afc39a0d28ca599ec15a8.jpg"" title/><img src=""paste-5a417f82cbe13ff7e11959e4d94f3ae8f626ef4b.jpg"" title/><div><img src=""image-b72a86a5f5f54d3539f8e3c36533f949b9f6fed2.jpg"" title/><br/></div>"
"<img src=""paste-d6efb8e56bb27f0cd21fd06b9d4caddfa6652f0e.jpg"" title=""53 &lt;5 기본서 ”6.515~516 참조특정관리대상지역의안전등급의평가기준에따라실시하여야하는정기안전점검은
&lt; 등급 , ㅁ 등급의경우월 1 회이상실시하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-c0c360a771e63136079fec4d4b672d8b837f3f12.jpg"" title/><img src=""paste-5a417f82cbe13ff7e11959e4d94f3ae8f626ef4b.jpg"" title/><div><img src=""paste-9112c4c61b09afc91008a8b84bc91277885a0dfb.png"" title/><br/></div>"
"<img src=""paste-4007c7395fe94d40817d57003715057b2afb0ff7.jpg"" title=""54 &lt;&gt; 기본서 0.517 참조
『 사방사업법 」 제 2 조제 3 호에따른사방시설과 ' 기상법 」 제 2 조제 13 호에따른기상시설은모두재난방지시설에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-9d219663ebdc3e4330a9f1b3ebce135468aa0f00.jpg"" title/><img src=""paste-e5229782e3ada09a571a1f537d03ee379f989740.jpg"" title/><div><img src=""paste-192df8d86a7ddd8d493dd0673ceabd16e41700c1.png"" title/><br/></div>"
"<img src=""paste-8a47b6cf1cedfc713357ed34a1049b2fe6a61fe7.jpg"" title=""55 &lt;&gt; 기본서 ”0.518 참조재난안전분야종사자의교육기준에따라전문교육의대상자는해당업무를맡은후 3 개월이내에신규교육을받아야하며 , 신규교육을받은후매년정기교육을받아야한다 .
o1x""/>"	"<img src=""paste-9ed115c4a6d13822546034bf9339a8255b4b82d7.jpg"" title/><img src=""paste-e5229782e3ada09a571a1f537d03ee379f989740.jpg"" title/><div><img src=""paste-c92f9d9a1e9d1766f763e365d21f6fbc2f53fba7.jpg"" title/><br/></div>"
"<img src=""paste-ed58a4a1015a3f77570888ae59828f3a2e3d71d3.jpg"" title=""56 &lt;&gt; 가본서 0.521 참조안전취약계증으로지원하는대상은 15 세미만의어린이 , 60 세이상의노인 , 「 장애인복지법 」 제 2 조에따른장애인 , 그밖에재난이나그밖의각종사고에취약하다고인정되는사람이다 .
ㅇ 1×""/>"	"<img src=""paste-73b43e6111b86a7cb474f29052bc4e8a02dbd524.jpg"" title/><img src=""paste-e5229782e3ada09a571a1f537d03ee379f989740.jpg"" title/><div><img src=""image-f84447cde4bec182e99c580f5d9f92b28568ffe4.png"" title/><br/></div>"
"<img src=""paste-3580e57ba0aba115ad10519276f9eff4abec233c.jpg"" title=""57 &lt;&gt; 기본서 6.523 참조행정안전부장관은재난을예방하고국민의안전의식을높이기위하여재난관리책임기관의장의의견을들어 3 년마다집중안전점검기간을설정하고그운영에필요한계획을수립하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-9e099915fea3e9e3a0ec557f340333afa28d728f.jpg"" title/><img src=""paste-e5229782e3ada09a571a1f537d03ee379f989740.jpg"" title/><div><img src=""image-f84447cde4bec182e99c580f5d9f92b28568ffe4.png"" title/><br/></div>"
"<img src=""paste-d1cd2031a7757b42713fd12b31f92dc37d2ab37a.jpg"" title=""58 &lt;5 기본서 0.529 참조재난현장에서임무를직접수행하는기관의행동조치절차를구체적으로수록한문서는위기관리표준매뉴얼이다 .
o1x""/>"	"<img src=""paste-453f37fdf2e7e7d8da1ec0a44e622d9391e354df.jpg"" title/><img src=""paste-f7b0bb307e661a5dbff78ce01083165999b9500a.jpg"" title/><div><img src=""image-a8227a2c043219683cb9545541b549b8bdd1f1df.jpg"" title/><br/></div>"
"<img src=""paste-e65aef172ccb4626c358baea9c854d791de7a3ec.jpg"" title=""59 &lt;5 기본서 0.529 참조국가적차원에서관리가필요한재난에대하여재난관리체계와관계기관의임무와역할을규정한문서를위기관리표준매뉴얼이라고하며 , 재난관리주관기관의장이작성한다 .
ㅇ 1×""/>"	"<img src=""paste-89944b533c96fe8724c918c40fcbada3d673695e.jpg"" title/><img src=""paste-f7b0bb307e661a5dbff78ce01083165999b9500a.jpg"" title/><div><img src=""paste-31dc8f105aa346058ac18ce17270eebe3e53c9de.jpg"" title/><br/></div>"
"<img src=""paste-1e63b23a4f2e3dcfab23e4fb4e235245b1c40c6e.jpg"" title=""60 &lt;5 기븐서 0.530 참조행정안전부장관은위기관리매뉴얼의작성 - 운용실태를매년점검하여야하며 , 필요한경우수시로점검할수있고 , 그결과에따라이를시정또는보완하기위하여위기관리매뉴얼을작성운용하는기관의장에게필요한조치를하도록권고할수있다 .
ㅇ 1×""/>"	"<img src=""paste-69a7640de9fb91d40fd05df1c9ad58f2abfda35a.jpg"" title/><img src=""paste-f7b0bb307e661a5dbff78ce01083165999b9500a.jpg"" title/><div><img src=""paste-31dc8f105aa346058ac18ce17270eebe3e53c9de.jpg"" title/><br/></div>"
"<img src=""paste-dab5a983d805dcc6b9ab0671257d4e4a29eedeaa.jpg"" title=""61 &lt;5 기본서 0.531 참조운동시설에해당하는용도로쓰는바닥면적의합계가 SH[m?] 이상인건죽물은위기상황매뉴얼을작성해야하는다중이용건축물에해당한다 .
ㅇ 1×""/>"	"<img src=""paste-704652ce033e925db199e2a96b8370f332522cec.jpg"" title/><img src=""paste-f7b0bb307e661a5dbff78ce01083165999b9500a.jpg"" title/><div><img src=""paste-98fda7301d27353697a7652276d818b1bf27e945.png"" title/><br/></div><div><img src=""paste-31dc8f105aa346058ac18ce17270eebe3e53c9de.jpg"" title/><br/></div>"
"<img src=""paste-55516d290911862b537983f812dde33ffa7558a7.jpg"" title=""62
&lt;5 기본서 0.531 참조위기상황매뉴얼을작성 - 관리하는관계인은매년 1 회이상위기상황매뉴
ittt 2 14 위기상황매뉴얼에따른
ㅇ 1×""/>"	"<img src=""paste-165764b37952392ca3b06bb01f77b8118ff65e82.jpg"" title/><img src=""paste-309b393ea4c02583d527700f259d7ba186a8d11c.jpg"" title/><div><img src=""paste-31dc8f105aa346058ac18ce17270eebe3e53c9de.jpg"" title/><br/></div>"
"<img src=""paste-636d9d4641e16a60058cba045c839fe1d91c123a.jpg"" title=""63 &lt; 가본서 .533 참조행정안전부장관은체계적인재난관리를위하여재난안전통신망을구축 - 운영하여야하며 , 재난관리주관기관 - 훈련주관기관및훈련참여기관은재난관리에재난안전통신망을사용하여야한다 .
o X""/>"	"<img src=""paste-66c9bcb2b216a236beaddf39339739dde699c172.jpg"" title/><img src=""paste-309b393ea4c02583d527700f259d7ba186a8d11c.jpg"" title/><div><img src=""paste-31dc8f105aa346058ac18ce17270eebe3e53c9de.jpg"" title/><br/></div>"
"<img src=""paste-a578b5376d602398d07b724157f35462f389ac69.jpg"" title=""64 5 가본서 0.534 참조행정안전부장관은 5 년마다재난대비훈련기본계획을수립하고재난관리책임기관의장에게통보하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-766315ef28f76869ab32e08a96b5b38a9c9f970b.jpg"" title/><img src=""paste-309b393ea4c02583d527700f259d7ba186a8d11c.jpg"" title/><div><img src=""paste-31dc8f105aa346058ac18ce17270eebe3e53c9de.jpg"" title/><br/></div>"
"<img src=""paste-3c6f45b2da586f33bdde6df52e8f734885159032.jpg"" title=""65 &lt;5 기본서 ”0.536 참조대통령은대통령령으로정하는재난이발생하거나발생할우려가있는경우사람의생명 - 신체및재산에미치는중대한영향이나피해를줄이기위하여긴급한조치가필요하다고인정하면안전정책조정위원회의심의를거쳐재난사태를선포할수있다 .
ㅇ 1×""/>"	"<img src=""paste-ce85563cc9eaf7a95fecc69a813750fabc4419cd.jpg"" title/><img src=""paste-309b393ea4c02583d527700f259d7ba186a8d11c.jpg"" title/><div><img src=""paste-4118e5fde57f5aa01b1659245455c940b4a20b2e.png"" title/><br/></div>"
"<img src=""paste-5766c48d0027c7e5e01430bdfb6209f389e9c71d.jpg"" title=""66 &gt; 기본서 6.536 참조시장 - 군수 - 구청장은관할구역에서재난이발생하거나발생할우려가있는등대통령령으로정하는경우사람의생명 - 신체및재산에미치는중대한영향이나피해를줄이기위하여긴급한조치가필요하다고인정하면시 - 군 - 구안전관리위원회의심의를거쳐재난사태를선포할수있다 .
ㅇ 1%""/>"	"<img src=""paste-f622b0c1aa9d6f61547c3d2f39ecefe29cb459dc.jpg"" title/><img src=""paste-43e218ea7686ba10eb87ef17964d8c42f28e0acd.jpg"" title/><div><img src=""paste-4118e5fde57f5aa01b1659245455c940b4a20b2e.png"" title/><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);""><br/></span><div><img src=""paste-a4df8c5fe0c3d7b9cd7567edefee6ea737feb65a.png"" title/><br/></div></div>"
"<img src=""paste-0bc63eba9cbc4843e770d3f2cd0a9ea9212f3285.jpg"" title=""67 &lt;&gt; 기본서 0.536 참조재난사태가선포된지역에는해당지역에소재하는행정기관소속공무원의비상소집 , 해당지역에대한여행등이동제한명령을할수있다 .
o1x""/>"	"<img src=""paste-0009aa91999fd03ca75ac68a0264a546c324da1c.jpg"" title/><img src=""paste-43e218ea7686ba10eb87ef17964d8c42f28e0acd.jpg"" title/><div><img src=""paste-4118e5fde57f5aa01b1659245455c940b4a20b2e.png"" title/><br/></div>"
"<img src=""paste-dace125316455d9df5abc2dafc9810d0c6c120c8.jpg"" title=""68 기브서 ㅁ .537 좌조시도긴급구조통제단및시 ㆍ 군 - 구긴급구조통제단의단장의경우에는진화에대한응급조치와경보의발령또는전달이나피난의권고또는지시만하여야한다 .
ㅇ 1×""/><div>응급조치 실행 종류</div>"	"<img src=""paste-16df685ebbe780cadbba4be2457c4fb0b9606a46.jpg"" title/><img src=""paste-43e218ea7686ba10eb87ef17964d8c42f28e0acd.jpg"" title/><div><img src=""paste-97c1c17e55511488395d6b7db8d8b85dcb9256ed.png"" title/><br/></div><div><img src=""paste-4118e5fde57f5aa01b1659245455c940b4a20b2e.png"" title/><br/></div>"
"<img src=""paste-49891a4e0b1d7b7d682eecb182d2a66a8ce35b9a.jpg"" title=""69 &lt;&gt; 기본서 0.537 참조위기경보는국무총리가발령하며 , 재난피해의전개속도 , 확대가능성등재난상황의심각성을종합적으로고려하여관심 - 주의 - 경계 - 심각으로구분할수있다 .
ㅇ 1×""/>"	"<img src=""paste-28ef4ca55481a60e658bb2867e450476b760a7ee.jpg"" title/><img src=""paste-43e218ea7686ba10eb87ef17964d8c42f28e0acd.jpg"" title/><div><img src=""paste-4118e5fde57f5aa01b1659245455c940b4a20b2e.png"" title/><br/></div>"
"<img src=""paste-c7f7e1a6f2ee4d320671dbfb2b5cfbedcd5605b1.jpg"" title=""70 &lt;&gt; 기본서 0.538~539 참조재난에관한예보 - 경보 . 통지중호우또는태풍에의한 1 시간누적강우량이 72(mm]
이상관측되는경우에는소방청장이예보 - 경보 ㆍ 통지를실시한다 .
이1""/>"	"<img src=""paste-465370a2bf553f56e52d51e1202e7347f912e252.jpg"" title/><img src=""paste-46fed60ea3e250973e7a9680bda298c5a5444b75.jpg"" title/><div><img src=""paste-4118e5fde57f5aa01b1659245455c940b4a20b2e.png"" title/><br/></div>"
"<img src=""paste-828e272c3560f7828baad77373550f7ed4d6a167.jpg"" title=""기 &lt;5 기본서 ”0.541 참조중앙대책본부장과시장 - 군수 - 구청장은재난이발생하거나발생할우려가있는경우에사람의생명또는신체에대한위해방지나질서의유지를위하여필요하면위험구역을설정한다 .
o1 x""/>"	"<img src=""paste-6c92de006ab358fa4f74bad55bef7d3111476c8a.jpg"" title/><img src=""paste-46fed60ea3e250973e7a9680bda298c5a5444b75.jpg"" title/><div><img src=""paste-4118e5fde57f5aa01b1659245455c940b4a20b2e.png"" title/><br/></div>"
"<img src=""paste-e88da10204048be40816453aa69ecc69f74cabdb.jpg"" title=""72 &gt; 기본서 6.542 참조시장 - 군수 - 구청장과지역통제단장은그관할구역에서재난이발생하거나발생할우려가있어응급조치를하여야할급박한사정이있으면해당재난현장에있는사람이나인근에거주하는사람에게응급조치에종사하게하거나대통령령으로정하는바에따라다른사람의토지 - 건축물 - 인공구조물 , 그밖의소유물을일시사용할수있으며 , 장애물을변경하거나제거할수있다 .
ㅇ 1×""/>"	"<img src=""paste-a920992c3de2d90b24e3469d8d02e7ecc80d5790.jpg"" title/><img src=""paste-46fed60ea3e250973e7a9680bda298c5a5444b75.jpg"" title/><div><img src=""paste-4118e5fde57f5aa01b1659245455c940b4a20b2e.png"" title/><br/></div>"
"<img src=""paste-b13bc999418b06c2230e58e28c807782e9d46423.jpg"" title=""73 &lt;&gt; 기본서 0.544 참조긴급구조에관한사항의총괄 - 조정 , 긴급구조기관및긴급구조지원기관이하는긴급구조활동의역할분담과지휘 - 통제를위하여소방청에중앙긴급구조통제단을두며 ,
단장은소방청장이된다 .
ㅇ 1×""/>"	"<img src=""paste-4c01bc0aff0c694f56037ad3c0c894577f21946d.jpg"" title/><img src=""paste-46fed60ea3e250973e7a9680bda298c5a5444b75.jpg"" title/><div><img src=""image-94e911e572dbfa943b7d9375c7249a0913b384b6.jpg"" title/><br/></div>"
"<img src=""paste-10f26c432136acf4190c4304d3af67f1538601d3.jpg"" title=""74 &lt;5 기본서 0.545 참조중앙긴급구조통제단의부단장은소방청차장이되며 , 중앙통제단에는대응계획부 -
현장지휘부및자원지원부를둔다 .
O3""/>"	"<img src=""paste-59e6adcebc7c78ac8d28610d0dfa04932372f80a.jpg"" title/><img src=""paste-5eee2b5b72fcc250278333a16f6fb746828147f1.jpg"" title/><div><img src=""paste-c8aba37da393f49b1e2d342d0079e2408cca66d1.jpg"" title/><br/></div>"
"<img src=""paste-838e18b60c227ce754c415d86d059948007791c7.jpg"" title=""75 5 기본서 0.547 참조시 - 도긴급구조통제단과시 - 군 - 구긴급구조통제단에는각각단장 1 명을두되 , 시도긴급구조통제단의단장은시 - 도지사가되고시 - 군 - 구긴급구조통제단의단장은시장 - 군수 - 구청장이된다 .
ㅇ 1×""/>"	"<img src=""paste-6e12df083431b3b57995d215d0868198fbf5a4ee.jpg"" title/><img src=""paste-5eee2b5b72fcc250278333a16f6fb746828147f1.jpg"" title/><div><img src=""paste-c8aba37da393f49b1e2d342d0079e2408cca66d1.jpg"" title/><br/></div>"
"<img src=""paste-36cca27b91e85c55e801149c5d264a3923e5b760.jpg"" title=""76 &lt;5 기본서 6.550 참조재난현장에서는중앙대책본부장이긴급구조활동을지휘한다 . 다만 , 치안활동과관련된사항은관할경찰관서의장과협의하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-e632ef12b725421c990fb216c419299da28a59ed.jpg"" title/><img src=""paste-5eee2b5b72fcc250278333a16f6fb746828147f1.jpg"" title/><div><img src=""paste-c8aba37da393f49b1e2d342d0079e2408cca66d1.jpg"" title/><br/></div>"
"<img src=""paste-7311c90491ee46626ea1bed1001badc86189c8ec.jpg"" title=""77 &lt;&gt; 기본서 0.551 참조재난현장에서의긴급구조현장지휘사항에는재난현장에서인명의탐색 - 구조 , 추가재난의방지를위한응급조치등에관한사항이해당한다 .""/>"	"<img src=""paste-c3e92cc9bcbd96b7f744429872f851a4ab73f461.jpg"" title/><img src=""paste-5eee2b5b72fcc250278333a16f6fb746828147f1.jpg"" title/><div><img src=""paste-c8aba37da393f49b1e2d342d0079e2408cca66d1.jpg"" title/><span style=""-webkit-tap-highlight-color: rgba(0, 0, 0, 0);""><br/></span><div><img src=""paste-ecfd97b5c4a7564e6fbe2c3bb38ce9e067f6e806.png"" title/><br/></div></div>"
"<img src=""paste-609e0385c7beedb2e6c6992db0f8d5c6c5a4e8c2.jpg"" title=""78 &lt;&gt; 기본서 0.554 참조긴급구조대응계획중기본계획에는긴급구조대응계획의목적및적용범위 , 긴급구조대응계획의기본방침과절차 , 긴급구조대응계획의현장통제에관한사항이포함되어야한다 .
0 ㅇ 1×""/>"	"<img src=""paste-d263cbeb2ce2e329fdd8387329f4141f87a39b55.jpg"" title/><img src=""paste-c67ede1913eefdd4d593af13d171d7d7ff474d4c.jpg"" title/><div><img src=""paste-c8aba37da393f49b1e2d342d0079e2408cca66d1.jpg"" title/><br/></div><div><img src=""paste-1913c7a3f070fdc31f64b33f45b2d88fd4b46b45.png"" title/><br/></div>"
"<img src=""paste-f7fd0daabd6a7130c6fb88b351737001a01c5d44.jpg"" title=""79 &lt;&gt; 기본서 0.555 참조소방청장은 5 년마다시 .- 도긴급구조대응계획의수립에관한지침을작성하여시도긴급구조기관의장에게전달하여야한다 .
0 ㅇ 1×""/>"	"<img src=""paste-00fd400bfe35d85ac19167f5e7f81f3db4aa5dc5.jpg"" title/><img src=""paste-c67ede1913eefdd4d593af13d171d7d7ff474d4c.jpg"" title/><div><img src=""paste-c8aba37da393f49b1e2d342d0079e2408cca66d1.jpg"" title/><br/></div>"
"<img src=""paste-635c1492f0cb58012482c4d591ba353eedb661e1.jpg"" title=""80 5 가본서 0557 참조긴급구조지휘대는소방서현장지휘대 , 방면현장지휘대 , 소방본부현장지휘대및권역현장지휘대로구분하되 , 방면현장지휘대는 2 개이상 4 개이하의소방본부별로소방청장이 1 개를설치 - 운영한다 .
ㅇ 1×""/>"	"<img src=""paste-5f1c775cbc16f73886e55f6b237f590e8963c827.jpg"" title/><img src=""paste-c67ede1913eefdd4d593af13d171d7d7ff474d4c.jpg"" title/><div><img src=""image-91d47c225db9a5465c1536bcabb2b6c50a704c42.jpg"" title/><br/></div>"
"<img src=""paste-af7a61772b513b6714b8aaeb669ba94267a26661.jpg"" title=""81 Orienpss as
긴급구조지원기관에서긴급구조업무와재난관리업무를담당하는부서의담당자및관리자는신규교육의경우해당업무를맡은후 6 개월이내긴급구조에관한교육을받아야한다 .
ㅇ 1×""/>"	"<img src=""paste-ef26262a5dc7fd7513a0d230f025744d5bf4e91e.jpg"" title/><img src=""paste-c67ede1913eefdd4d593af13d171d7d7ff474d4c.jpg"" title/><div>재난안전종사자 교육 신규 6개월 정기 2년</div><div><img src=""image-91d47c225db9a5465c1536bcabb2b6c50a704c42.jpg"" title/><br/></div>"
"<img src=""paste-a9abf7c252b092cf925b228a90edce784d225533.jpg"" title=""82 &lt;5 기본서 0.560 참조국방부장관은항공기조난사고가발생한경우항공기수색과인명구조를위하여항총기수색 - 구조계획을수립 - 시행하여야한다 .
ㅇ 1×""/>"	"<img src=""paste-d107ea382760670367704cf60906f79ec15fab1e.jpg"" title/><img src=""paste-bd1950496b89327dc5aa65c872846071a64730ee.jpg"" title/><div><img src=""image-91d47c225db9a5465c1536bcabb2b6c50a704c42.jpg"" title/><br/></div>"
"<img src=""paste-8623bc2f85bf7c91faca94ed7c76d2da3a3ceeee.jpg"" title=""83 &lt;&gt; 기본서 6.560 참조긴급구조통제단장은기능별긴급구조대응계획의어느하나에해당하는기능의수행이필요한경우에는중앙긴급구조통제단또는지역긴급구조통제단을구성하여운영해야한다 .
O Xx""/>"	"<img src=""paste-4940337d326cd5211408d1dd506c023d9a8b48aa.jpg"" title/><img src=""paste-bd1950496b89327dc5aa65c872846071a64730ee.jpg"" title/><div><img src=""paste-d1bd3648e2f8905205158d5e81081d8cad0a2555.png"" title/><br/></div><div><img src=""paste-de39dcf5abf4009972c08037f86314f471354b04.png"" title/><br/></div><div><img src=""paste-d36fb39bf844134eb6ab1c22a89b9b090171dcc9.png"" title/><br/></div>"
